TrialOrder,TrialID,AngleResponse,AngleCorr,AngError,Start,End,RT,ID,AngErrorAbs
16,1,59.50664,139.8627,-80.35605999999999, Well, Stove,6.2052,432,80.35605999999999
24,2,62.74468,-49.85279,112.59747, Wheelbarrow, Stove,6.555389,432,112.59747
14,3,113.3721,-36.09407,149.46617, Mailbox, Piano,4.537155,432,149.46617
17,4,135.3898,-2.913495,138.30329500000002, Harp, Piano,5.054222,432,138.30329500000002
4,5,140.9061,-121.5305,262.4366, Bookshelf, Table,5.204155,432,97.5634
11,6,114.0108,24.73069,89.28011000000001, Chair, Table,10.27519,432,89.28011000000001
2,7,89.53419,-156.2066,245.74079, Trashcan, Plant,6.538633,432,114.25921
21,8,-154.0935,108.8188,-262.9123, Harp, Plant,5.55452,432,97.08769999999998
20,9,-74.2612,151.2295,-225.4907, Stove, Bookshelf,6.038177,432,134.5093
3,10,-77.08221,-155.7204,78.63819000000001, Plant, Bookshelf,6.188597,432,78.63819000000001
8,11,140.6406,10.1685,130.4721, Telescope, Trashcan,3.919949,432,130.4721
15,12,-144.5667,-13.0517,-131.515, Table, Trashcan,6.12159,432,131.515
18,13,120.5608,156.9717,-36.4109, Well, Telescope,15.47928,432,36.4109
23,14,-148.4956,0.0,-148.4956, Wheelbarrow, Telescope,9.04068,432,148.4956
7,15,-152.391,-20.9935,-131.39749999999998, Mailbox, Wheelbarrow,3.402935,432,131.39749999999998
10,16,-161.2587,-141.7693,-19.489400000000018, Plant, Wheelbarrow,5.754852,432,19.489400000000018
5,17,-130.7636,146.6573,-277.4209, Stove, Harp,5.371063,432,82.57909999999998
13,18,-78.60469,-4.299151,-74.30553900000001, Telescope, Harp,3.185852,432,74.30553900000001
19,19,-131.5834,-47.17128,-84.41212000000002, Table, Well,12.31026,432,84.41212000000002
6,20,129.5329,8.961795,120.57110500000002, Piano, Well,9.874779,432,120.57110500000002
9,21,167.1032,-146.2155,313.3187, Trashcan, Mailbox,4.887142,432,46.68130000000002
