Object1,Object1_X,Object1_Y,Object2,Object2_X,Object2_Y,Shortest_Distance,Path
Harp,5,2,Table,1,5,6.114999999999999,"(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)->(1, 5)"
Harp,5,2,Stove,0,6,8.514999999999999,"(5, 2)->(4, 2)->(3, 2)->(3, 3)->(3, 4)->(2, 4)->(1, 4)->(1, 5)->(1, 6)->(0, 6)"
Harp,5,2,Piano,5,6,5.74,"(5, 2)->(6, 2)->(6, 3)->(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Telescope,0,3,Wheelbarrow,3,3,4.82,"(0, 3)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 3)"
Telescope,0,3,Bookshelf,5,4,5.545,"(0, 3)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(4, 4)->(5, 4)"
Telescope,0,3,Trashcan,6,4,6.47,"(0, 3)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Telescope,0,3,Table,1,5,2.9500000000000006,"(0, 3)->(0, 4)->(1, 4)->(1, 5)"
Telescope,0,3,Stove,0,6,5.350000000000001,"(0, 3)->(0, 4)->(1, 4)->(1, 5)->(1, 6)->(0, 6)"
Telescope,0,3,Piano,5,6,7.525,"(0, 3)->(0, 4)->(1, 4)->(2, 4)->(3, 4)->(3, 5)->(3, 6)->(4, 6)->(5, 6)"
Wheelbarrow,3,3,Bookshelf,5,4,2.5650000000000004,"(3, 3)->(3, 4)->(4, 4)->(5, 4)"
Wheelbarrow,3,3,Trashcan,6,4,3.49,"(3, 3)->(3, 4)->(4, 4)->(5, 4)->(6, 4)"
Wheelbarrow,3,3,Table,1,5,3.4800000000000004,"(3, 3)->(3, 4)->(2, 4)->(1, 4)->(1, 5)"
Wheelbarrow,3,3,Stove,0,6,5.880000000000001,"(3, 3)->(3, 4)->(3, 5)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Wheelbarrow,3,3,Piano,5,6,4.545,"(3, 3)->(3, 4)->(3, 5)->(3, 6)->(4, 6)->(5, 6)"
Bookshelf,5,4,Trashcan,6,4,0.9249999999999998,"(5, 4)->(6, 4)"
Bookshelf,5,4,Table,1,5,4.205,"(5, 4)->(4, 4)->(3, 4)->(2, 4)->(1, 4)->(1, 5)"
Bookshelf,5,4,Stove,0,6,6.605,"(5, 4)->(4, 4)->(3, 4)->(3, 5)->(3, 6)->(2, 6)->(1, 6)->(0, 6)"
Bookshelf,5,4,Piano,5,6,3.83,"(5, 4)->(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Trashcan,6,4,Table,1,5,5.129999999999999,"(6, 4)->(5, 4)->(4, 4)->(3, 4)->(2, 4)->(1, 4)->(1, 5)"
Trashcan,6,4,Stove,0,6,7.53,"(6, 4)->(5, 4)->(4, 4)->(3, 4)->(2, 4)->(1, 4)->(1, 5)->(1, 6)->(0, 6)"
Trashcan,6,4,Piano,5,6,2.9050000000000002,"(6, 4)->(6, 5)->(6, 6)->(5, 6)"
Table,1,5,Stove,0,6,2.4000000000000004,"(1, 5)->(1, 6)->(0, 6)"
Table,1,5,Piano,5,6,4.575,"(1, 5)->(1, 6)->(2, 6)->(3, 6)->(4, 6)->(5, 6)"
Stove,0,6,Piano,5,6,4.625,"(0, 6)->(1, 6)->(2, 6)->(3, 6)->(4, 6)->(5, 6)"
