ParticipantID,TrialNumber,LevelDistanceTraveled,grid_distance,human_distance
429,6,10.02,12.2,9.06
429,7,8.3,8.4,8.1
429,8,6.66,7.8,6.12
429,9,13.05,16.6,12.34
429,10,11.62,14.41,11.21
429,11,9.75,10.4,9.62
429,12,7.31,7.5,7.42
429,13,6.15,6.6,5.61
429,14,4.46,5.0,4.72
429,15,11.83,13.1,10.89
429,16,14.69,15.8,14.5
429,17,12.63,15.1,12.15
429,18,10.55,11.4,9.79
429,19,9.26,11.7,8.93
429,20,9.99,11.7,9.89
429,21,1.49,5.87,6.92
429,22,8.36,9.2,8.29
429,23,13.53,14.4,12.34
429,24,16.31,17.3,16.21
430,1,9.49,11.34,9.1
430,2,13.57,17.7,13.77
430,3,8.44,9.4,7.2
430,4,7.06,7.1,6.04
430,5,7.0,8.4,7.23
430,6,9.13,10.8,9.01
430,7,11.13,12.4,10.89
430,8,4.98,5.6,4.52
430,9,9.86,12.8,8.59
430,10,6.81,7.5,6.41
430,11,0.18,5.57,5.86
430,12,10.07,11.3,8.67
430,13,5.84,6.6,5.62
430,14,5.14,4.8,4.48
430,15,3.8,4.9,3.21
430,16,4.36,6.6,3.82
430,17,8.88,10.3,8.21
430,18,8.16,9.2,7.3
430,19,7.66,9.5,7.18
430,20,5.78,6.7,5.47
430,21,7.26,8.3,6.73
430,22,10.46,13.0,9.38
430,23,7.01,8.6,7.22
430,24,8.11,9.1,7.08
406,1,7.42,9.5,6.8
406,2,9.54,11.1,9.75
406,3,10.44,11.8,9.3
406,4,4.86,5.7,5.09
406,5,3.78,4.2,3.9
406,6,8.24,9.8,7.48
406,7,8.63,8.4,7.54
406,8,4.68,5.6,4.3
406,9,5.81,6.6,5.26
406,10,7.75,9.7,7.25
406,11,11.78,12.6,10.7
406,12,7.29,7.5,6.68
406,13,5.9,6.6,5.46
406,14,9.2,9.2,7.82
406,15,4.16,4.9,3.31
406,16,5.09,7.2,5.52
406,17,7.65,8.5,7.24
406,18,5.61,5.6,5.46
406,19,12.11,13.7,10.62
406,20,5.89,6.7,5.49
406,21,7.34,8.3,5.99
406,22,6.37,7.4,5.71
406,23,12.69,14.4,11.83
406,24,4.43,5.7,4.58
431,1,10.05,11.3,9.55
431,2,6.07,9.34,6.51
431,3,10.7,11.8,9.61
431,4,7.04,7.1,7.07
431,5,17.57,19.6,16.82
431,6,8.72,12.2,8.36
431,7,11.21,12.4,10.49
431,8,5.2,5.6,5.15
431,9,7.58,8.4,7.11
431,10,9.24,9.1,7.67
431,11,6.94,6.4,5.79
431,12,12.48,15.5,11.64
431,13,10.15,10.2,8.96
431,14,5.22,6.4,5.38
431,15,11.29,13.1,10.2
431,16,12.27,13.84,11.88
431,17,13.56,15.1,12.24
431,18,10.58,11.4,10.29
431,19,22.57,25.94,22.93
431,20,13.95,16.3,14.04
431,21,16.48,16.7,14.75
431,22,7.5,9.0,7.24
431,23,9.92,10.2,9.5
431,24,14.59,16.7,14.97
432,1,9.86,11.3,9.66
432,2,8.9,10.9,9.25
432,3,10.07,10.65,9.61
432,4,6.4,7.1,6.32
432,5,4.55,6.6,5.33
432,6,11.33,14.0,12.1
