ParticipantID,TrialNumber,LevelDistanceTraveled,grid_distance,human_distance
445,19,11.79,11.7,10.25
445,20,8.54,9.9,8.68
445,21,16.88,18.3,15.48
445,22,15.01,16.8,15.28
445,23,7.11,8.6,6.91
445,24,20.19,27.59,24.65
446,1,8.42,11.1,7.82
446,2,5.84,7.5,5.08
446,3,7.68,9.4,7.54
446,4,6.19,5.7,5.49
446,5,3.8,4.2,3.61
446,6,7.73,9.8,7.68
446,7,6.81,7.76,6.62
446,8,6.46,7.8,5.87
446,9,5.56,6.6,4.92
446,10,6.58,7.5,6.48
446,11,5.71,6.4,5.52
446,12,13.05,15.5,11.88
446,13,5.22,6.6,4.86
446,14,8.56,10.0,8.76
446,15,3.69,4.9,3.01
446,16,3.64,5.0,3.06
446,17,6.36,8.5,6.11
446,18,5.68,7.4,5.94
446,19,8.21,10.24,9.44
446,20,7.01,8.1,7.06
446,21,6.71,8.3,6.22
446,22,5.96,7.4,5.54
446,23,7.87,8.05,6.99
446,24,4.68,5.7,4.22
447,1,11.27,14.1,11.2
447,2,5.15,5.9,4.6
447,3,9.75,11.8,9.26
447,4,25.89,30.29,27.71
447,5,24.53,29.6,24.3
447,6,19.83,21.84,19.31
447,7,11.87,12.4,10.9
447,8,8.43,9.4,7.72
447,9,24.91,29.2,24.17
447,10,17.48,26.4,22.99
447,11,10.86,13.85,11.2
447,12,12.9,14.83,12.24
447,13,7.67,8.8,7.95
447,14,25.31,30.24,27.05
447,15,12.3,14.7,11.26
447,16,5.45,6.8,5.82
447,17,9.74,10.3,9.29
447,18,19.43,21.2,20.25
447,19,20.96,25.1,20.13
447,20,12.14,14.1,11.82
447,21,13.91,16.5,13.86
447,22,26.07,34.11,29.61
447,23,7.4,8.6,7.03
447,24,4.29,5.7,4.93
422,1,7.81,9.5,6.83
422,2,4.65,5.9,4.15
422,3,8.61,9.4,7.41
422,4,5.39,5.7,5.4
422,5,4.45,4.2,3.57
422,6,8.07,9.2,7.13
422,7,8.36,8.4,6.38
422,8,5.71,8.0,4.86
422,9,5.74,6.6,4.98
422,10,7.15,7.5,6.34
422,11,6.27,6.4,5.23
422,12,5.3,5.1,3.92
422,13,6.38,6.6,5.37
422,14,4.58,5.0,3.34
422,15,3.63,4.9,3.08
422,16,4.49,6.6,3.66
422,17,8.39,8.5,7.29
422,18,5.67,5.6,5.16
422,19,8.29,9.5,6.92
422,20,7.81,8.1,6.59
422,21,7.75,8.3,6.36
422,22,6.8,7.4,5.57
422,23,6.73,8.6,7.0
422,24,5.55,5.7,4.58
448,1,12.62,14.5,12.77
448,2,9.24,10.9,9.83
448,3,13.18,14.4,13.18
448,4,8.32,8.9,8.4
448,5,7.44,8.4,7.77
448,6,15.89,16.4,14.57
448,7,11.68,12.4,11.67
448,8,23.22,26.16,22.8
448,9,6.21,8.2,6.27
448,10,10.39,13.3,10.49
448,11,16.8,18.0,16.0
448,12,14.03,15.5,12.61
448,13,14.88,17.4,15.05
448,14,11.92,13.8,12.26
448,15,7.74,9.1,6.94
448,16,8.72,10.4,9.01
448,17,8.43,10.3,8.14
448,18,6.26,7.6,6.02
448,19,13.48,13.7,11.73
448,20,14.31,16.3,13.93
448,21,13.07,14.7,12.99
448,22,8.12,9.2,7.76
448,23,10.32,11.8,10.09
448,24,5.51,5.7,5.41
424,1,7.59,9.5,7.75
424,2,3.77,5.9,5.03
424,3,7.87,9.4,8.23
424,4,7.27,8.9,7.66
424,5,3.51,4.2,3.66
424,6,7.12,9.0,6.82
424,7,6.65,8.4,7.13
424,8,6.34,10.2,6.73
424,9,5.48,6.13,5.67
424,10,5.63,7.5,6.38
424,11,5.45,6.4,5.11
424,12,5.51,7.5,6.05
424,13,5.39,6.6,5.37
424,14,4.6,6.6,5.06
424,15,4.22,4.9,4.33
424,16,7.93,12.4,8.31
424,17,6.62,8.5,5.93
424,18,4.51,5.6,4.75
424,19,5.53,7.1,5.56
424,20,5.34,6.7,5.84
424,21,6.67,8.3,7.04
424,22,6.33,9.0,6.76
424,23,7.18,8.05,7.58
424,24,4.34,5.14,4.98
449,1,10.63,13.5,9.85
449,2,5.14,5.9,4.87
449,3,7.8,9.4,7.53
449,4,5.04,5.7,5.27
449,5,4.01,4.2,3.82
449,6,8.0,9.2,7.46
449,7,7.33,8.4,6.93
449,8,4.78,5.6,4.23
449,9,5.48,6.6,5.24
449,10,5.86,7.5,5.57
449,11,5.85,6.4,5.38
449,12,4.88,5.1,4.16
449,13,5.41,6.6,5.33
449,14,4.09,4.8,3.52
449,15,3.66,4.9,3.22
449,16,3.78,5.0,3.51
449,17,7.67,8.5,7.31
449,18,6.32,7.4,5.4
449,19,8.3,9.5,7.36
449,20,6.3,6.7,5.45
449,21,7.3,8.3,6.22
449,22,5.81,7.4,5.36
449,23,7.29,8.6,7.46
449,24,4.44,5.7,4.6
450,1,9.6,10.75,10.02
450,2,4.08,5.9,3.86
450,3,8.69,9.4,7.62
450,4,18.92,22.7,19.97
450,5,4.53,4.2,3.73
450,6,8.42,12.2,8.58
450,7,8.29,10.0,7.65
450,8,5.96,7.6,5.63
450,9,12.44,17.5,12.12
450,10,12.36,15.5,13.13
450,11,7.92,8.4,7.02
450,12,17.72,23.97,21.08
450,13,11.99,13.65,12.23
450,14,4.54,4.8,4.94
450,15,11.81,13.1,10.78
450,16,15.23,18.84,15.64
450,17,10.57,15.1,9.84
450,18,16.8,18.4,16.96
450,19,10.24,11.3,10.08
450,20,5.91,6.15,6.06
450,21,12.51,14.7,12.17
450,22,9.05,9.8,7.83
450,23,17.78,23.44,19.26
450,24,4.51,5.14,4.95
451,1,15.8,20.07,19.49
451,2,11.72,12.9,11.66
451,3,11.28,11.2,11.72
451,4,27.44,37.68,31.28
451,5,7.74,8.4,7.86
451,6,7.75,9.8,8.23
451,7,9.62,10.0,8.61
451,8,8.06,7.8,6.66
451,9,16.54,18.8,15.64
451,10,13.67,14.9,13.77
451,11,19.17,19.8,18.82
451,12,7.21,7.5,7.33
451,13,16.07,17.4,15.25
451,14,11.65,13.31,11.95
451,15,6.56,7.3,6.09
451,16,18.72,19.8,17.38
451,17,24.22,31.92,30.09
451,18,8.75,9.8,8.6
451,19,10.54,11.3,10.54
451,20,6.18,6.15,6.18
451,21,14.0,14.7,13.07
451,22,27.68,31.45,28.78
451,23,12.61,14.4,12.67
451,24,15.35,16.5,15.67
417,1,8.48,11.1,7.78
417,2,4.13,5.9,3.68
417,3,32.89,39.2,34.44
417,4,12.87,14.7,12.9
417,5,5.01,6.6,5.23
417,6,12.84,16.26,12.78
417,7,7.65,10.0,7.67
417,8,4.77,8.0,5.05
417,9,8.22,8.4,7.27
417,10,12.23,12.74,11.52
417,11,9.31,10.4,9.36
417,12,6.92,7.5,6.97
417,13,5.21,6.6,5.51
417,14,3.82,5.0,3.58
417,15,8.37,9.9,8.21
417,16,11.78,13.8,11.99
417,17,21.91,23.7,20.24
417,18,12.22,13.2,12.15
417,19,11.25,11.5,8.71
417,20,15.98,16.3,14.77
417,21,11.42,13.9,11.12
417,22,12.96,17.2,12.89
417,23,12.29,14.4,12.1
417,24,4.6,5.7,4.77
410,1,8.93,9.5,8.05
410,2,4.0,5.9,4.48
410,3,9.6,11.8,9.15
410,4,5.87,5.7,5.88
410,5,5.24,6.6,5.26
410,6,10.12,13.2,9.92
410,7,9.89,8.4,7.91
410,8,10.17,14.78,13.45
410,9,7.47,9.33,7.24
410,10,9.92,13.1,9.16
410,11,8.81,10.4,8.25
410,12,8.08,9.1,7.14
410,13,7.22,8.8,7.03
410,14,7.79,8.4,6.33
410,15,7.37,9.3,5.98
410,16,6.34,9.0,6.53
410,17,11.91,10.3,9.39
410,18,11.96,14.48,14.84
410,19,8.4,9.5,8.54
410,20,7.12,8.1,6.97
410,21,16.17,19.9,16.18
410,22,5.99,7.4,5.81
410,23,8.59,10.2,8.9
410,24,11.7,13.1,11.94
421,1,7.08,9.5,7.24
421,2,5.06,5.9,4.81
421,3,9.73,11.8,8.89
421,4,5.41,5.7,5.4
421,5,3.92,4.2,3.1
421,6,7.87,9.8,7.61
421,7,8.88,10.04,8.19
421,8,4.76,5.6,4.07
421,9,5.64,6.6,5.08
421,10,6.05,7.5,5.67
421,11,19.64,21.2,18.38
421,12,5.04,5.1,4.28
421,13,6.6,8.4,6.33
421,14,4.69,4.8,4.08
421,15,9.78,13.1,8.89
421,16,7.17,8.4,5.92
421,17,8.25,8.5,6.49
421,18,5.13,5.6,4.54
421,19,5.84,7.1,5.15
421,20,5.87,6.7,5.94
421,21,7.28,8.3,6.37
421,22,6.18,7.4,5.47
421,23,7.55,8.6,6.88
421,24,4.5,5.7,4.54
423,1,7.91,9.5,7.23
423,2,5.64,5.9,4.14
423,3,14.21,11.8,10.29
423,4,5.71,5.7,4.93
423,5,7.68,8.4,7.92
423,6,8.06,9.0,7.71
423,7,8.21,7.76,6.28
423,8,5.45,4.96,4.39
423,9,6.23,6.6,4.61
423,10,8.05,9.1,7.26
423,11,7.09,6.4,5.65
423,12,5.93,5.1,4.5
423,13,6.84,6.6,5.54
423,14,12.09,12.4,10.54
423,15,4.38,5.98,4.1
423,16,6.09,6.8,6.14
423,17,7.56,8.5,6.4
423,18,12.2,13.2,11.5
423,19,8.52,9.5,6.43
423,20,6.98,6.7,5.6
423,21,8.36,8.3,6.55
423,22,7.79,7.4,6.28
423,23,8.1,8.6,7.56
423,24,6.59,5.7,5.15
