TrialOrder,TrialID,AngleResponse,AngleCorr,AngError,Start,End,RT,ID,AngErrorAbs
8,17,-92.74809,146.6573,-239.4053, Stove, Harp,6.02211,442,120.59469999999999
9,2,120.0897,-49.85279,169.9425, Wheelbarrow, Stove,5.087067,442,169.9425
10,18,-18.59324,-4.299151,-14.29408, Telescope, Harp,14.5285,442,14.29408
11,12,124.9755,-13.0517,138.0272, Table, Trashcan,8.307053,442,138.0272
12,3,-40.41203,-36.09407,-4.317959, Mailbox, Piano,6.572983,442,4.317959
13,11,43.96466,10.1685,33.79615, Telescope, Trashcan,4.669418,442,33.79615
14,4,145.4207,-2.913495,148.3342, Harp, Piano,3.269379,442,148.3342
15,8,123.1632,108.8188,14.34441, Harp, Plant,4.937347,442,14.34441
16,9,-114.2784,151.2295,-265.5079, Stove, Bookshelf,11.69296,442,94.4921
17,7,100.1154,-156.2066,256.322, Trashcan, Plant,3.519592,442,103.678
18,1,105.4222,139.8627,-34.4405, Well, Stove,6.371796,442,34.4405
19,16,-59.25276,-141.7693,82.51656, Plant, Wheelbarrow,6.889099,442,82.51656
20,24,152.1524,-125.6807,277.8331, Trashcan, Chair,5.621124,442,82.1669
21,22,-121.4073,-51.54441,-69.86284, Bookshelf, Mailbox,3.986694,442,69.86284
22,10,-41.63354,-155.7204,114.0869, Plant, Bookshelf,38.4982,442,114.0869
23,14,137.4248,0.0,137.4248, Wheelbarrow, Telescope,4.620636,442,137.4248
24,21,-135.0,-146.2155,11.21555, Trashcan, Mailbox,11.09293,442,11.21555
1,8,90.30639,108.8188,-18.51242, Harp, Plant,27.48914,446,18.51242
2,6,18.84129,24.73069,-5.889399, Chair, Table,17.44766,446,5.889399
3,19,-27.5528,-47.17128,19.61847, Table, Well,19.8996,446,19.61847
4,12,-16.67504,-13.0517,-3.623336, Table, Trashcan,11.57623,446,3.623336
5,22,-34.1932,-51.54441,17.35122, Bookshelf, Mailbox,14.89557,446,17.35122
6,3,-23.48876,-36.09407,12.60531, Mailbox, Piano,7.622803,446,12.60531
7,11,-22.40985,10.1685,-32.57836, Telescope, Trashcan,16.99741,446,32.57836
8,24,-106.9755,-125.6807,18.7052, Trashcan, Chair,14.71204,446,18.7052
9,9,144.0902,151.2295,-7.139328, Stove, Bookshelf,16.91397,446,7.139328
10,15,-20.74607,-20.9935,0.2474251, Mailbox, Wheelbarrow,18.59857,446,0.2474251
11,23,-177.8789,-10.49368,-167.3852, Piano, Chair,32.15979,446,167.3852
12,1,139.2427,139.8627,-0.6199951, Well, Stove,31.07553,446,0.6199951
13,21,-133.884,-146.2155,12.33157, Trashcan, Mailbox,15.84625,446,12.33157
14,7,-149.6208,-156.2066,6.585739, Trashcan, Plant,8.790649,446,6.585739
15,10,-157.6938,-155.7204,-1.973373, Plant, Bookshelf,20.23328,446,1.973373
16,16,-144.1178,-141.7693,-2.34848, Plant, Wheelbarrow,23.13562,446,2.34848
17,4,-2.56025,-2.913495,0.3532448, Harp, Piano,24.32007,446,0.3532448
18,20,-137.9903,8.961795,-146.9521, Piano, Well,22.40173,446,146.9521
19,14,-12.29857,0.0,-12.29857, Wheelbarrow, Telescope,28.72357,446,12.29857
20,5,-116.1183,-121.5305,5.412216, Bookshelf, Table,42.03461,446,5.412216
21,13,156.6891,156.9717,-0.2826233, Well, Telescope,35.31226,446,0.2826233
22,2,-21.43963,-49.85279,28.41316, Wheelbarrow, Stove,19.1156,446,28.41316
23,18,-15.30086,-4.299151,-11.00171, Telescope, Harp,24.73706,446,11.00171
24,17,140.0796,146.6573,-6.577667, Stove, Harp,19.16577,446,6.577667
1,1,40.35366,139.8627,-99.50904, Well, Stove,19.09905,401,99.50904
