TrialOrder,TrialID,AngleResponse,AngleCorr,AngError,Start,End,RT,ID,AngErrorAbs
3,3,-25.10775,-36.09407,10.986320000000005, Mailbox, Piano,14.32837,405,10.986320000000005
16,4,54.49403,-2.913495,57.407525, Harp, Piano,7.623016,405,57.407525
21,5,-90.0,-121.5305,31.530500000000004, Bookshelf, Table,10.52539,405,31.530500000000004
18,6,45.59888,24.73069,20.86819, Chair, Table,13.47784,405,20.86819
6,7,-159.7751,-156.2066,-3.5685, Trashcan, Plant,12.41013,405,3.5685
19,8,49.66335,108.8188,-59.15545, Harp, Plant,14.82886,405,59.15545
20,9,135.1969,151.2295,-16.032600000000002, Stove, Bookshelf,22.21829,405,16.032600000000002
4,10,-160.1002,-155.7204,-4.379799999999989, Plant, Bookshelf,19.56619,405,4.379799999999989
22,11,-0.6584912,10.1685,-10.8269912, Telescope, Trashcan,8.423401,405,10.8269912
8,12,142.6961,-13.0517,155.7478, Table, Trashcan,8.006592,405,155.7478
13,13,172.2468,156.9717,15.275100000000007, Well, Telescope,11.10913,405,15.275100000000007
