1	1	120
1	2	120
1	3	120
1	4	120
1	5	120
1	6	120
1	7	120
1	8	120
1	9	120
2	1	120
2	2	1
2	3	1
2	4	1
2	5	1
2	6	1
2	7	1
2	8	1
2	9	120
3	1	120
3	2	1
3	3	100
3	4	1
3	5	100
3	6	100
3	7	1
3	8	100
3	9	120
4	1	120
4	2	1
4	3	1
4	4	1
4	5	1
4	6	1
4	7	1
4	8	1
4	9	120
5	1	120
5	2	1
5	3	100
5	4	100
5	5	1
5	6	100
5	7	100
5	8	1
5	9	120
6	1	120
6	2	1
6	3	1
6	4	1
6	5	1
6	6	1
6	7	1
6	8	1
6	9	120
7	1	120
7	2	100
7	3	1
7	4	100
7	5	1
7	6	100
7	7	100
7	8	1
7	9	120
8	1	120
8	2	1
8	3	1
8	4	1
8	5	1
8	6	1
8	7	1
8	8	1
8	9	120
9	1	120
9	2	120
9	3	120
9	4	120
9	5	120
9	6	120
9	7	120
9	8	120
9	9	120
