Subject,Age,Gender,AllowedTime,Order,Center,Top,Target,TargetAngle,EstimateAngle,AngularError,DSP_Trial,targetAngle
665,18,female,60,6,You,picnictable,wheelbarrow,51.0,92.0,41.0,dsp1_11,50.94686305
666,18,male,60,20,You,picnictable,wheelbarrow,51.0,40.0,11.0,dsp1_11,50.94686305
667,19,male,60,17,You,picnictable,wheelbarrow,51.0,34.0,17.0,dsp1_11,50.94686305
668,19,male,60,25,You,picnictable,wheelbarrow,51.0,152.0,101.0,dsp1_11,50.94686305
669,18,male,60,7,You,picnictable,wheelbarrow,51.0,323.0,88.0,dsp1_11,50.94686305
670,19,male,60,11,You,picnictable,wheelbarrow,51.0,116.0,65.0,dsp1_11,50.94686305
640,18,female,60,2,You,picnictable,wheelbarrow,51.0,219.0,168.0,dsp1_11,50.94686305
604,20,male,60,2,You,plant,well,120.0,136.0,16.0,dsp1_09,119.6189758
605,18,male,60,18,You,plant,well,120.0,151.0,31.0,dsp1_09,119.6189758
606,20,male,60,11,You,plant,well,120.0,150.0,30.0,dsp1_09,119.6189758
607,20,female,60,11,You,plant,well,120.0,63.0,57.0,dsp1_09,119.6189758
608,21,male,60,9,You,plant,well,120.0,223.0,103.0,dsp1_09,119.6189758
609,18,male,60,25,You,plant,well,120.0,40.0,80.0,dsp1_09,119.6189758
610,19,male,60,15,You,plant,well,120.0,326.0,154.0,dsp1_09,119.6189758
611,19,male,60,14,You,plant,well,120.0,248.0,128.0,dsp1_09,119.6189758
612,18,male,60,22,You,plant,well,120.0,220.0,100.0,dsp1_09,119.6189758
613,18,male,60,3,You,plant,well,120.0,218.0,98.0,dsp1_09,119.6189758
614,19,male,60,13,You,plant,well,120.0,326.0,154.0,dsp1_09,119.6189758
615,20,male,60,8,You,plant,well,120.0,294.0,174.0,dsp1_09,119.6189758
616,19,male,60,9,You,plant,well,120.0,140.0,20.0,dsp1_09,119.6189758
617,19,male,60,8,You,plant,well,120.0,225.0,105.0,dsp1_09,119.6189758
618,19,male,60,1,You,plant,well,120.0,219.0,99.0,dsp1_09,119.6189758
619,20,male,60,25,You,plant,well,120.0,116.0,4.0,dsp1_09,119.6189758
620,18,male,60,22,You,plant,well,120.0,245.0,125.0,dsp1_09,119.6189758
621,25,female,60,9,You,plant,well,120.0,121.0,1.0,dsp1_09,119.6189758
622,18,male,60,12,You,plant,well,120.0,33.0,87.0,dsp1_09,119.6189758
623,19,female,60,20,You,plant,well,120.0,201.0,81.0,dsp1_09,119.6189758
624,18,female,60,11,You,plant,well,120.0,141.0,21.0,dsp1_09,119.6189758
625,20,female,60,14,You,plant,well,120.0,130.0,10.0,dsp1_09,119.6189758
626,18,male,60,19,You,plant,well,120.0,189.0,69.0,dsp1_09,119.6189758
627,19,male,60,14,You,plant,well,120.0,170.0,50.0,dsp1_09,119.6189758
628,18,female,60,7,You,plant,well,120.0,238.0,118.0,dsp1_09,119.6189758
629,20,male,60,22,You,plant,well,120.0,120.0,0.0,dsp1_09,119.6189758
630,19,female,60,20,You,plant,well,120.0,241.0,121.0,dsp1_09,119.6189758
631,21,female,60,19,You,plant,well,120.0,219.0,99.0,dsp1_09,119.6189758
632,18,female,60,19,You,plant,well,120.0,131.0,11.0,dsp1_09,119.6189758
633,19,female,60,17,You,plant,well,120.0,207.0,87.0,dsp1_09,119.6189758
634,18,female,60,12,You,plant,well,120.0,133.0,13.0,dsp1_09,119.6189758
635,18,male,60,8,You,plant,well,120.0,26.0,94.0,dsp1_09,119.6189758
636,19,female,60,22,You,plant,well,120.0,308.0,172.0,dsp1_09,119.6189758
637,18,male,60,11,You,plant,well,120.0,219.0,99.0,dsp1_09,119.6189758
638,20,female,60,11,You,plant,well,120.0,132.0,12.0,dsp1_09,119.6189758
639,18,female,60,3,You,plant,well,120.0,149.0,29.0,dsp1_09,119.6189758
641,18,male,60,23,You,plant,well,120.0,198.0,78.0,dsp1_09,119.6189758
642,19,female,60,9,You,plant,well,120.0,269.0,149.0,dsp1_09,119.6189758
643,18,female,60,3,You,plant,well,120.0,245.0,125.0,dsp1_09,119.6189758
645,18,male,60,26,You,plant,well,120.0,304.0,176.0,dsp1_09,119.6189758
646,18,male,60,23,You,plant,well,120.0,153.0,33.0,dsp1_09,119.6189758
647,19,female,60,6,You,plant,well,120.0,229.0,109.0,dsp1_09,119.6189758
648,18,female,60,22,You,plant,well,120.0,90.0,30.0,dsp1_09,119.6189758
649,20,female,60,20,You,plant,well,120.0,44.0,76.0,dsp1_09,119.6189758
650,19,female,60,8,You,plant,well,120.0,74.0,46.0,dsp1_09,119.6189758
651,19,female,60,12,You,plant,well,120.0,128.0,8.0,dsp1_09,119.6189758
653,20,female,60,7,You,plant,well,120.0,143.0,23.0,dsp1_09,119.6189758
656,18,female,60,25,You,plant,well,120.0,249.0,129.0,dsp1_09,119.6189758
657,19,female,60,21,You,plant,well,120.0,143.0,23.0,dsp1_09,119.6189758
658,19,female,60,16,You,plant,well,120.0,223.0,103.0,dsp1_09,119.6189758
660,19,male,60,4,You,plant,well,120.0,136.0,16.0,dsp1_09,119.6189758
