TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
1, 24, -99.09031, -125.6807, 26.59041, Trashcan, Chair, 86.97119
2, 17, 145.5208, 146.6573, -1.13649, Stove, Harp, 78.08032
3, 21, -150.2255, -146.2155, -4.009918, Trashcan, Mailbox, 51.35876
4, 4, -5.050241, -2.913495, -2.136747, Harp, Piano, 25.32068
5, 15, -27.29291, -20.9935, -6.29941, Mailbox, Wheelbarrow, 81.56641
6, 13, 149.0362, 156.9717, -7.935471, Well, Telescope, 52.72632
7, 12, -7.577456, -13.0517, 5.474243, Table, Trashcan, 27.9895
8, 11, 11.79343, 10.1685, 1.624926, Telescope, Trashcan, 68.10596
9, 2, 14.10536, -49.85279, 63.95815, Wheelbarrow, Stove, 71.05811
10, 7, -157.281, -156.2066, -1.074387, Trashcan, Plant, 31.49243
11, 18, 8.800201, -4.299151, 13.09935, Telescope, Harp, 32.10962
12, 9, 150.3661, 151.2295, -0.8634338, Stove, Bookshelf, 61.69995
13, 8, 113.1986, 108.8188, 4.379799, Harp, Plant, 31.65942
14, 10, -132.4514, -155.7204, 23.26901, Plant, Bookshelf, 72.92603
15, 23, -25.79971, -10.49368, -15.30602, Piano, Chair, 55.46191
16, 20, 3.798235, 8.961795, -5.163559, Piano, Well, 31.87598
17, 14, 9.950642, 0, 9.950642, Wheelbarrow, Telescope, 87.87158
18, 19, -33.75961, -47.17128, 13.41167, Table, Well, 21.98462
19, 1, 120.3236, 139.8627, -19.53905, Well, Stove, 16.73047
20, 16, -140.0007, -141.7693, 1.768661, Plant, Wheelbarrow, 54.79443
21, 5, -121.9384, -121.5305, -0.4079132, Bookshelf, Table, 57.16357
22, 22, -61.06245, -51.54441, -9.518036, Bookshelf, Mailbox, 103.134
23, 6, 33.33508, 24.73069, 8.604397, Chair, Table, 15.229
24, 3, -47.67858, -36.09407, -11.58451, Mailbox, Piano, 21.13403
