TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
1, 13, 20.82089, 156.9717, -136.1508, Well, Telescope, 96.19531
2, 1, -39.94113, 139.8627, -179.8038, Well, Stove, 130.0896
3, 14, 152.4709, 0, 152.4709, Wheelbarrow, Telescope, 88.77271
4, 23, 91.62116, -10.49368, 102.1148, Piano, Chair, 80.99951
5, 22, -84.57477, -51.54441, -33.03035, Bookshelf, Mailbox, 56.99683
6, 7, 56.94412, -156.2066, 213.1507, Trashcan, Plant, 157.3286
7, 17, -127.7368, 146.6573, -274.394, Stove, Harp, 64.58594
8, 24, 20.55605, -125.6807, 146.2368, Trashcan, Chair, 46.60474
9, 20, -24.30454, 8.961795, -33.26633, Piano, Well, 36.19629
10, 5, 138.149, -121.5305, 259.6795, Bookshelf, Table, 50.8916
11, 11, 21.99112, 10.1685, 11.82261, Telescope, Trashcan, 54.99512
12, 21, -40.88185, -146.2155, 105.3337, Trashcan, Mailbox, 30.99194
13, 16, 170.5874, -141.7693, 312.3567, Plant, Wheelbarrow, 31.79272
14, 3, -28.74966, -36.09407, 7.344414, Mailbox, Piano, 26.17114
15, 19, 160.3462, -47.17128, 207.5175, Table, Well, 34.49487
16, 8, 116.9277, 108.8188, 8.108856, Harp, Plant, 25.55469
17, 10, -141.6912, -155.7204, 14.02921, Plant, Bookshelf, 51.20825
18, 2, 128.4033, -49.85279, 178.256, Wheelbarrow, Stove, 42.56812
19, 6, 25.96928, 24.73069, 1.238594, Chair, Table, 36.71338
20, 4, 0.2306999, -2.913495, 3.144195, Harp, Piano, 28.80688
21, 18, -29.52867, -4.299151, -25.22952, Telescope, Harp, 23.65283
22, 9, 157.3355, 151.2295, 6.105942, Stove, Bookshelf, 68.67236
23, 12, 8.530785, -13.0517, 21.58249, Table, Trashcan, 54.17773
24, 15, -53.97262, -20.9935, -32.97912, Mailbox, Wheelbarrow, 19.14893
