TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
10,1,-20.19979,139.8627,-160.06249, Well, Stove,6.338501
24,2,-106.7666,-49.85279,-56.91381, Wheelbarrow, Stove,25.85461
17,3,67.06785,-36.09407,103.16192000000001, Mailbox, Piano,16.48022
19,4,82.5931,-2.913495,85.506595, Harp, Piano,17.09723
20,5,92.80639,-121.5305,214.33688999999998, Bookshelf, Table,9.691284
7,6,-18.52935,24.73069,-43.260040000000004, Chair, Table,19.79962
14,7,17.14035,-156.2066,173.34695000000002, Trashcan, Plant,18.7652
3,8,15.20243,108.8188,-93.61636999999999, Harp, Plant,12.677
13,9,-37.74681,151.2295,-188.97631, Stove, Bookshelf,15.96289
6,10,18.43496,-155.7204,174.15536, Plant, Bookshelf,15.42926
18,11,70.90652,10.1685,60.73802, Telescope, Trashcan,34.21155
9,12,13.03586,-13.0517,26.08756, Table, Trashcan,11.69305
16,13,-51.9939,156.9717,-208.9656, Well, Telescope,13.07745
1,14,28.89642,0.0,28.89642, Wheelbarrow, Telescope,24.52014
12,15,-23.96249,-20.9935,-2.968989999999998, Mailbox, Wheelbarrow,9.224487
11,16,-27.95096,-141.7693,113.81833999999999, Plant, Wheelbarrow,21.23407
8,17,15.03783,146.6573,-131.61946999999998, Stove, Harp,11.94312
15,18,26.131,-4.299151,30.430151000000002, Telescope, Harp,15.5296
23,19,-72.13992,-47.17128,-24.96864, Table, Well,12.64398
5,20,24.34109,8.961795,15.379295, Piano, Well,14.24512
4,21,-22.90984,-146.2155,123.30565999999999, Trashcan, Mailbox,22.31842
21,22,-121.9384,-51.54441,-70.39399, Bookshelf, Mailbox,8.257019
22,23,87.30569,-10.49368,97.79937, Piano, Chair,11.05884
2,24,-24.82056,-125.6807,100.86014, Trashcan, Chair,13.22754
