TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
18,1,-40.46222,139.8627,-180.32492, Well, Stove,9.174255
2,2,101.1006,-49.85279,150.95339, Wheelbarrow, Stove,9.741287
14,3,-128.4001,-36.09407,-92.30603, Mailbox, Piano,5.354416
12,4,-178.7546,-2.913495,-175.841105, Harp, Piano,5.504486
5,5,136.4522,-121.5305,257.9827, Bookshelf, Table,8.523689
19,6,121.316,24.73069,96.58531, Chair, Table,6.155106
15,7,138.8141,-156.2066,295.02070000000003, Trashcan, Plant,13.66168
24,8,90.91422,108.8188,-17.904579999999996, Harp, Plant,4.353607
6,9,122.4326,151.2295,-28.796900000000008, Stove, Bookshelf,5.738106
3,10,139.2142,-155.7204,294.93460000000005, Plant, Bookshelf,9.074097
22,11,-120.3501,10.1685,-130.5186, Telescope, Trashcan,9.274857
17,12,159.1022,-13.0517,172.15390000000002, Table, Trashcan,6.338486
16,13,-142.9733,156.9717,-299.945, Well, Telescope,5.871063
10,14,126.6213,0.0,126.6213, Wheelbarrow, Telescope,4.670425
23,15,-116.7127,-20.9935,-95.7192, Mailbox, Wheelbarrow,5.837479
1,16,-152.8696,-141.7693,-11.100300000000004, Plant, Wheelbarrow,25.85465
4,17,104.4847,146.6573,-42.17259999999999, Stove, Harp,7.005753
13,18,130.4347,-4.299151,134.733851, Telescope, Harp,17.73128
8,19,151.3611,-47.17128,198.53238, Table, Well,16.43024
21,20,-160.56,8.961795,-169.521795, Piano, Well,4.820602
11,21,-116.7788,-146.2155,29.436699999999988, Trashcan, Mailbox,7.706467
7,22,-60.87117,-51.54441,-9.32676, Bookshelf, Mailbox,9.391029
20,23,138.3109,-10.49368,148.80458000000002, Piano, Chair,10.02484
9,24,173.1573,-125.6807,298.83799999999997, Trashcan, Chair,4.620361
