TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
4,1,25.08359,139.8627,-114.77910999999999, Well, Stove,39.04882
3,2,-119.5641,-49.85279,-69.71131, Wheelbarrow, Stove,44.58656
13,3,7.839245,-36.09407,43.933315, Mailbox, Piano,14.41187
6,4,-176.9335,-2.913495,-174.020005, Harp, Piano,28.00636
19,5,146.4613,-121.5305,267.9918, Bookshelf, Table,12.31021
15,6,85.91441,24.73069,61.18372000000001, Chair, Table,9.257568
8,7,-87.83891,-156.2066,68.36769000000001, Trashcan, Plant,5.13739
10,8,87.78319,108.8188,-21.03560999999999, Harp, Plant,9.207626
16,9,153.9966,151.2295,2.7670999999999992, Stove, Bookshelf,21.13403
2,10,-42.78036,-155.7204,112.94004000000001, Plant, Bookshelf,11.57625
21,11,85.94647,10.1685,75.77797000000001, Telescope, Trashcan,6.722046
24,12,88.21008,-13.0517,101.26178, Table, Trashcan,7.205902
11,13,-91.62884,156.9717,-248.60054, Well, Telescope,13.44432
1,14,-153.2703,0.0,-153.2703, Wheelbarrow, Telescope,30.9419
20,15,-18.83845,-20.9935,2.1550499999999992, Mailbox, Wheelbarrow,16.41348
14,16,-24.44396,-141.7693,117.32533999999998, Plant, Wheelbarrow,16.08005
7,17,157.6431,146.6573,10.985800000000012, Stove, Harp,16.7973
17,18,-128.3235,-4.299151,-124.024349, Telescope, Harp,10.42532
12,19,-114.8803,-47.17128,-67.70902000000001, Table, Well,11.70952
23,20,-59.60986,8.961795,-68.57165499999999, Piano, Well,9.72467
5,21,-88.61407,-146.2155,57.60142999999999, Trashcan, Mailbox,28.27327
9,22,151.6635,-51.54441,203.20791, Bookshelf, Mailbox,17.76457
22,23,-91.28734,-10.49368,-80.79366, Piano, Chair,6.522095
18,24,-161.2948,-125.6807,-35.61410000000001, Trashcan, Chair,20.1665
