TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
9,1,-39.90789,139.8627,-179.77059, Well, Stove,26.32167
21,2,-64.14449,-49.85279,-14.291700000000006, Wheelbarrow, Stove,27.68967
22,3,-64.81148,-36.09407,-28.71741, Mailbox, Piano,12.99399
24,4,122.1419,-2.913495,125.055395, Harp, Piano,11.99338
7,5,-47.82215,-121.5305,73.70835, Bookshelf, Table,29.90791
11,6,31.89568,24.73069,7.1649899999999995, Chair, Table,15.52969
13,7,146.5092,-156.2066,302.7158, Trashcan, Plant,8.10675
15,8,90.80694,108.8188,-18.01186, Harp, Plant,9.95816
3,9,166.0622,151.2295,14.832699999999988, Stove, Bookshelf,13.96136
16,10,-119.7449,-155.7204,35.97550000000001, Plant, Bookshelf,10.77548
1,11,-69.48669,10.1685,-79.65518999999999, Telescope, Trashcan,63.41893
12,12,-125.8927,-13.0517,-112.84100000000001, Table, Trashcan,19.349
5,13,-23.13571,156.9717,-180.10741, Well, Telescope,12.30998
2,14,144.8193,0.0,144.8193, Wheelbarrow, Telescope,17.98148
23,15,37.8283,-20.9935,58.821799999999996, Mailbox, Wheelbarrow,16.59698
6,16,-150.66,-141.7693,-8.89070000000001, Plant, Wheelbarrow,14.92908
20,17,159.3684,146.6573,12.711100000000016, Stove, Harp,8.440125
19,18,22.56962,-4.299151,26.868771000000002, Telescope, Harp,13.21094
10,19,-27.76637,-47.17128,19.404910000000005, Table, Well,25.68777
4,20,27.38184,8.961795,18.420045000000002, Piano, Well,32.72704
18,21,-24.66195,-146.2155,121.55354999999999, Trashcan, Mailbox,13.02731
8,22,-9.993574,-51.54441,41.550836, Bookshelf, Mailbox,7.722931
14,23,52.54945,-10.49368,63.04313, Piano, Chair,6.271851
17,24,39.80556,-125.6807,165.48626000000002, Trashcan, Chair,17.41425
