TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
5,1,39.21761,139.8627,-100.64508999999998, Well, Stove,21.66783
18,2,37.14669,-49.85279,86.99948, Wheelbarrow, Stove,14.71201
14,3,-34.50852,-36.09407,1.585550000000005, Mailbox, Piano,10.25839
19,4,-26.56509,-2.913495,-23.651595, Harp, Piano,15.84628
2,5,76.86599,-121.5305,198.39649, Bookshelf, Table,34.91197
21,6,-154.8407,24.73069,-179.57139, Chair, Table,7.47287
13,7,118.8556,-156.2066,275.0622, Trashcan, Plant,7.572937
17,8,113.9625,108.8188,5.14370000000001, Harp, Plant,6.42215
24,9,-115.5599,151.2295,-266.7894, Stove, Bookshelf,9.741364
3,10,-88.60281,-155.7204,67.11759, Plant, Bookshelf,17.71439
12,11,-52.90711,10.1685,-63.075610000000005, Telescope, Trashcan,5.804779
10,12,-80.83757,-13.0517,-67.78587, Table, Trashcan,10.05826
1,13,91.73572,156.9717,-65.23598, Well, Telescope,91.49194
8,14,57.99463,0.0,57.99463, Wheelbarrow, Telescope,16.02992
6,15,-66.6444,-20.9935,-45.65090000000001, Mailbox, Wheelbarrow,8.139801
16,16,-104.0362,-141.7693,37.73309999999999, Plant, Wheelbarrow,13.67792
15,17,-69.44393,146.6573,-216.10123, Stove, Harp,6.238403
22,18,-38.15725,-4.299151,-33.858098999999996, Telescope, Harp,4.954041
11,19,-115.1149,-47.17128,-67.94362000000001, Table, Well,24.00308
23,20,-143.5309,8.961795,-152.492695, Piano, Well,7.989899
7,21,155.6376,-146.2155,301.8531, Trashcan, Mailbox,9.724808
9,22,169.7432,-51.54441,221.28761, Bookshelf, Mailbox,15.47934
20,23,-154.8407,-10.49368,-144.34702, Piano, Chair,5.321228
4,24,-162.0722,-125.6807,-36.39150000000001, Trashcan, Chair,36.01314
