TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
14,1,91.46882,139.8627,-48.393879999999996, Well, Stove,23.26898
18,2,140.5032,-49.85279,190.35599, Wheelbarrow, Stove,9.724243
13,3,147.6002,-36.09407,183.69427000000002, Mailbox, Piano,41.33392
16,4,150.6194,-2.913495,153.53289500000002, Harp, Piano,8.307281
22,5,91.5587,-121.5305,213.0892, Bookshelf, Table,52.02625
15,6,45.48147,24.73069,20.750780000000002, Chair, Table,11.67621
21,7,52.26698,-156.2066,208.47358, Trashcan, Plant,6.055084
2,8,90.40349,108.8188,-18.41530999999999, Harp, Plant,15.94642
1,9,-161.9522,151.2295,-313.1817, Stove, Bookshelf,73.36044
5,10,-179.284,-155.7204,-23.56359999999998, Plant, Bookshelf,13.16079
12,11,145.008,10.1685,134.83950000000002, Telescope, Trashcan,9.474518
6,12,89.11859,-13.0517,102.17029, Table, Trashcan,11.94334
23,13,91.5587,156.9717,-65.413, Well, Telescope,4.870514
24,14,138.9909,0.0,138.9909, Wheelbarrow, Telescope,12.47693
20,15,-33.69004,-20.9935,-12.696540000000002, Mailbox, Wheelbarrow,8.206665
17,16,-177.7975,-141.7693,-36.02820000000003, Plant, Wheelbarrow,8.239838
11,17,145.008,146.6573,-1.6492999999999824, Stove, Harp,32.94376
19,18,46.08094,-4.299151,50.380091, Telescope, Harp,30.5755
7,19,-90.0,-47.17128,-42.82872, Table, Well,5.337723
4,20,90.43737,8.961795,81.475575, Piano, Well,10.35849
9,21,180.0,-146.2155,326.2155, Trashcan, Mailbox,7.289352
10,22,-57.14425,-51.54441,-5.59984, Bookshelf, Mailbox,56.07947
3,23,-88.81145,-10.49368,-78.31777, Piano, Chair,13.39434
8,24,-81.7644,-125.6807,43.91630000000001, Trashcan, Chair,34.92856
