TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
1, 22, -29.63838, -51.54441, 21.90603, Bookshelf, Mailbox, 65.02008
2, 13, -29.63838, 156.9717, -186.6101, Well, Telescope, 37.36405
3, 5, 48.06227, -121.5305, 169.5928, Bookshelf, Table, 10.55868
4, 10, -33.0984, -155.7204, 122.622, Plant, Bookshelf, 36.98063
5, 9, -97.93717, 151.2295, -249.1667, Stove, Bookshelf, 11.80945
6, 23, -147.7243, -10.49368, -137.2307, Piano, Chair, 17.64786
7, 1, 106.0908, 139.8627, -33.77184, Well, Stove, 7.923141
8, 6, -143.8543, 24.73069, -168.585, Chair, Table, 9.89151
9, 4, 110.5014, -2.913495, 113.4149, Harp, Piano, 7.389404
10, 7, -116.2167, -156.2066, 39.98985, Trashcan, Plant, 7.072464
11, 11, -139.2973, 10.1685, -149.4658, Telescope, Trashcan, 7.255829
12, 21, 115.5139, -146.2155, 261.7294, Trashcan, Mailbox, 11.80983
13, 17, -63.43494, 146.6573, -210.0922, Stove, Harp, 6.672134
14, 16, -55.45156, -141.7693, 86.31775, Plant, Wheelbarrow, 11.07593
15, 19, 131.2315, -47.17128, 178.4027, Table, Well, 6.371674
16, 8, 119.1005, 108.8188, 10.2817, Harp, Plant, 4.820709
17, 2, -78.48614, -49.85279, -28.63335, Wheelbarrow, Stove, 5.421143
18, 12, -55.87145, -13.0517, -42.81975, Table, Trashcan, 27.38925
19, 14, 106.4704, 0, 106.4704, Wheelbarrow, Telescope, 5.587921
20, 20, -40.36456, 8.961795, -49.32635, Piano, Well, 5.804626
21, 15, -137.9609, -20.9935, -116.9674, Mailbox, Wheelbarrow, 6.105133
22, 24, -66.86053, -125.6807, 58.82018, Trashcan, Chair, 6.138306
23, 3, 118.5325, -36.09407, 154.6265, Mailbox, Piano, 7.939758
24, 18, -72.81039, -4.299151, -68.51124, Telescope, Harp, 5.554565
