TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
16,1,42.90987,139.8627,-96.95282999999999, Well, Stove,10.25851
24,2,76.0771,-49.85279,125.92989, Wheelbarrow, Stove,12.32684
20,3,40.78582,-36.09407,76.87989, Mailbox, Piano,25.13718
10,4,144.8458,-2.913495,147.759295, Harp, Piano,36.64648
3,5,35.83768,-121.5305,157.36818, Bookshelf, Table,39.01518
2,6,-69.38181,24.73069,-94.1125, Chair, Table,35.64588
5,7,11.64598,-156.2066,167.85258000000002, Trashcan, Plant,17.99803
13,8,-150.5725,108.8188,-259.3913, Harp, Plant,39.48245
9,9,166.1345,151.2295,14.905000000000001, Stove, Bookshelf,24.82047
1,10,-42.38426,-155.7204,113.33614000000001, Plant, Bookshelf,32.77731
7,11,-86.0321,10.1685,-96.2006, Telescope, Trashcan,21.95149
18,12,32.9938,-13.0517,46.045500000000004, Table, Trashcan,21.90118
12,13,145.2109,156.9717,-11.760799999999989, Well, Telescope,12.64383
17,14,-74.7167,0.0,-74.7167, Wheelbarrow, Telescope,12.61038
15,15,35.48578,-20.9935,56.47928, Mailbox, Wheelbarrow,13.21069
11,16,-124.0133,-141.7693,17.755999999999986, Plant, Wheelbarrow,30.64212
21,17,-145.1755,146.6573,-291.8328, Stove, Harp,13.36105
6,18,11.64598,-4.299151,15.945131, Telescope, Harp,1.43454
22,19,57.37085,-47.17128,104.54213, Table, Well,7.656311
8,20,-122.0674,8.961795,-131.02919500000002, Piano, Well,11.84297
4,21,36.58533,-146.2155,182.80083, Trashcan, Mailbox,23.71983
14,22,151.8214,-51.54441,203.36581, Bookshelf, Mailbox,14.71219
23,23,133.9678,-10.49368,144.46148000000002, Piano, Chair,12.21002
19,24,-50.55997,-125.6807,75.12073000000001, Trashcan, Chair,9.574707
