TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
8,1,-110.9426,139.8627,-250.8053, Well, Stove,17.89781
3,2,170.7645,-49.85279,220.61729, Wheelbarrow, Stove,40.3
19,3,19.32317,-36.09407,55.41724000000001, Mailbox, Piano,14.27856
10,4,125.2867,-2.913495,128.200195, Harp, Piano,55.69594
6,5,167.5417,-121.5305,289.0722, Bookshelf, Table,14.24478
11,6,68.30489,24.73069,43.574200000000005, Chair, Table,7.30603
20,7,-164.3318,-156.2066,-8.125199999999978, Trashcan, Plant,25.22089
18,8,136.0809,108.8188,27.262100000000018, Harp, Plant,19.16556
13,9,-145.8855,151.2295,-297.115, Stove, Bookshelf,38.96545
21,10,142.9072,-155.7204,298.62760000000003, Plant, Bookshelf,31.24228
14,11,-19.359,10.1685,-29.527500000000003, Telescope, Trashcan,13.97797
17,12,158.6821,-13.0517,171.7338, Table, Trashcan,10.65881
24,13,62.91253,156.9717,-94.05917, Well, Telescope,21.98486
7,14,164.6116,0.0,164.6116, Wheelbarrow, Telescope,41.5175
22,15,149.5066,-20.9935,170.5001, Mailbox, Wheelbarrow,19.64948
12,16,-157.6714,-141.7693,-15.902100000000019, Plant, Wheelbarrow,17.83127
2,17,162.5042,146.6573,15.846900000000005, Stove, Harp,9.74123
1,18,-24.22772,-4.299151,-19.928569000000003, Telescope, Harp,25.97137
9,19,-4.573931,-47.17128,42.597349, Table, Well,21.45108
15,20,-45.70722,8.961795,-54.669015, Piano, Well,13.51123
23,21,159.1714,-146.2155,305.38689999999997, Trashcan, Mailbox,20.31665
5,22,-135.7253,-51.54441,-84.18089, Bookshelf, Mailbox,42.75198
4,23,-94.66685,-10.49368,-84.17317, Piano, Chair,12.76043
16,24,-50.52757,-125.6807,75.15313, Trashcan, Chair,26.57172
