TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
1, 12, 30.82771, -13.0517, 43.87941, Table, Trashcan, 18.84891
2, 6, -35.92294, 24.73069, -60.65363, Chair, Table, 10.90875
3, 16, -109.5367, -141.7693, 32.2326, Plant, Wheelbarrow, 11.10921
4, 3, 19.79886, -36.09407, 55.89293, Mailbox, Piano, 8.924049
5, 11, -109.7468, 10.1685, -119.9153, Telescope, Trashcan, 10.82558
6, 2, 128.5765, -49.85279, 178.4293, Wheelbarrow, Stove, 14.01154
7, 19, -57.36794, -47.17128, -10.19666, Table, Well, 10.20828
8, 9, 153.869, 151.2295, 2.639481, Stove, Bookshelf, 10.29198
9, 21, -32.58571, -146.2155, 113.6298, Trashcan, Mailbox, 10.95883
10, 1, 116.3721, 139.8627, -23.49051, Well, Stove, 7.806442
11, 23, 179.3871, -10.49368, 189.8808, Piano, Chair, 9.224289
12, 18, -47.72635, -4.299151, -43.4272, Telescope, Harp, 9.908569
13, 24, -148.5704, -125.6807, -22.88972, Trashcan, Chair, 9.307144
14, 13, 60.2126, 156.9717, -96.75909, Well, Telescope, 11.32603
15, 5, -134.7838, -121.5305, -13.25326, Bookshelf, Table, 7.055862
16, 8, 168.6901, 108.8188, 59.87127, Harp, Plant, 9.62442
17, 7, -141.6799, -156.2066, 14.52669, Trashcan, Plant, 11.92656
18, 4, -28.73983, -2.913495, -25.82634, Harp, Piano, 6.221832
19, 15, -77.70472, -20.9935, -56.71122, Mailbox, Wheelbarrow, 10.24173
20, 10, -149.3493, -155.7204, 6.371109, Plant, Bookshelf, 8.723709
21, 20, 55.66034, 8.961795, 46.69855, Piano, Well, 8.807281
22, 22, 101.4695, -51.54441, 153.0139, Bookshelf, Mailbox, 10.62544
23, 17, -118.54, 146.6573, -265.1972, Stove, Harp, 5.737854
24, 14, 112.1664, 0, 112.1664, Wheelbarrow, Telescope, 7.489594
