TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
3,1,-42.17604,139.8627,-182.03874, Well, Stove,5.371033
19,2,-85.91434,-49.85279,-36.06155, Wheelbarrow, Stove,9.324402
18,3,-53.4404,-36.09407,-17.346329999999995, Mailbox, Piano,6.905579
15,4,-96.92113,-2.913495,-94.00763500000001, Harp, Piano,8.089905
22,5,-27.18783,-121.5305,94.34267, Bookshelf, Table,5.671265
21,6,-41.09146,24.73069,-65.82215, Chair, Table,4.203552
1,7,176.3256,-156.2066,332.5322, Trashcan, Plant,6.70575
17,8,70.27769,108.8188,-38.54110999999999, Harp, Plant,9.224365
24,9,-149.9706,151.2295,-301.2001, Stove, Bookshelf,3.619751
23,10,66.08374,-155.7204,221.80414000000002, Plant, Bookshelf,5.888184
13,11,-111.3836,10.1685,-121.5521, Telescope, Trashcan,4.069824
9,12,-150.6795,-13.0517,-137.62779999999998, Table, Trashcan,8.523804
5,13,146.1363,156.9717,-10.835399999999993, Well, Telescope,7.406189
7,14,-104.8683,0.0,-104.8683, Wheelbarrow, Telescope,10.42517
10,15,146.6593,-20.9935,167.6528, Mailbox, Wheelbarrow,5.571411
14,16,56.76829,-141.7693,198.53759, Plant, Wheelbarrow,7.45636
2,17,162.5252,146.6573,15.86790000000002, Stove, Harp,15.39606
6,18,-67.89729,-4.299151,-63.598138999999996, Telescope, Harp,4.887268
20,19,109.5731,-47.17128,156.74438, Table, Well,4.453613
8,20,170.789,8.961795,161.827205, Piano, Well,5.704651
12,21,137.872,-146.2155,284.0875, Trashcan, Mailbox,3.502808
16,22,110.2036,-51.54441,161.74801, Bookshelf, Mailbox,6.872314
11,23,134.817,-10.49368,145.31068000000002, Piano, Chair,5.30426
4,24,167.9177,-125.6807,293.59839999999997, Trashcan, Chair,7.005676
