TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
6,1,39.17369,139.8627,-100.68901, Well, Stove,7.806335
4,2,106.2602,-49.85279,156.11299, Wheelbarrow, Stove,25.60421
20,3,-35.83755,-36.09407,0.25652000000000186, Mailbox, Piano,4.887375
11,4,-61.6991,-2.913495,-58.785605000000004, Harp, Piano,5.337578
24,5,111.8014,-121.5305,233.33190000000002, Bookshelf, Table,9.808167
7,6,75.96363,24.73069,51.23294, Chair, Table,10.30839
16,7,136.4442,-156.2066,292.6508, Trashcan, Plant,10.45815
18,8,145.823,108.8188,37.00420000000001, Harp, Plant,12.39369
21,9,-94.89912,151.2295,-246.12862, Stove, Bookshelf,10.04161
1,10,-95.71063,-155.7204,60.00977000000002, Plant, Bookshelf,27.32258
8,11,-79.21563,10.1685,-89.38413, Telescope, Trashcan,4.570282
13,12,-75.25649,-13.0517,-62.20479, Table, Trashcan,16.79706
2,13,119.476,156.9717,-37.4957, Well, Telescope,6.538692
3,14,114.7754,0.0,114.7754, Wheelbarrow, Telescope,23.88622
19,15,-50.04245,-20.9935,-29.04895, Mailbox, Wheelbarrow,8.506805
9,16,-91.90917,-141.7693,49.860129999999984, Plant, Wheelbarrow,13.81161
5,17,-90.0,146.6573,-236.6573, Stove, Harp,7.789894
15,18,-75.46545,-4.299151,-71.16629900000001, Telescope, Harp,6.438919
10,19,-73.30057,-47.17128,-26.12928999999999, Table, Well,5.421204
17,20,-122.7352,8.961795,-131.69699500000002, Piano, Well,4.253662
23,21,173.1076,-146.2155,319.32309999999995, Trashcan, Mailbox,6.822113
12,22,161.565,-51.54441,213.10941, Bookshelf, Mailbox,8.056816
14,23,-172.6476,-10.49368,-162.15392, Piano, Chair,5.671265
22,24,-167.6193,-125.6807,-41.93860000000001, Trashcan, Chair,5.537933
