TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
1, 19, 77.34748, -47.17128, 124.5188, Table, Well, 9.574661
2, 10, 40.54442, -155.7204, 196.2649, Plant, Bookshelf, 6.90567
3, 14, -103.3553, 0, -103.3553, Wheelbarrow, Telescope, 6.65535
4, 7, 157.5333, -156.2066, 313.7399, Trashcan, Plant, 6.171936
5, 8, -179.3338, 108.8188, -288.1526, Harp, Plant, 7.105774
6, 3, 114.7751, -36.09407, 150.8692, Mailbox, Piano, 10.87553
7, 2, -110.9245, -49.85279, -61.07171, Wheelbarrow, Stove, 4.436951
8, 12, 56.14292, -13.0517, 69.19462, Table, Trashcan, 6.872192
9, 18, -141.8091, -4.299151, -137.5099, Telescope, Harp, 4.50386
10, 24, 113.4841, -125.6807, 239.1648, Trashcan, Chair, 9.858063
11, 16, 135.9993, -141.7693, 277.7686, Plant, Wheelbarrow, 4.436981
12, 1, -34.61594, 139.8627, -174.4786, Well, Stove, 5.721161
13, 6, 128.4033, 24.73069, 103.6726, Chair, Table, 5.621582
14, 23, -75.43423, -10.49368, -64.94054, Piano, Chair, 5.454376
15, 9, 173.3087, 151.2295, 22.07922, Stove, Bookshelf, 4.403687
16, 20, -59.83503, 8.961795, -68.79682, Piano, Well, 15.62946
17, 21, -47.43665, -146.2155, 98.77889, Trashcan, Mailbox, 6.705566
18, 15, 33.86369, -20.9935, 54.85719, Mailbox, Wheelbarrow, 3.819672
19, 4, 144.8411, -2.913495, 147.7546, Harp, Piano, 4.236725
20, 22, -94.42696, -51.54441, -42.88255, Bookshelf, Mailbox, 4.453918
21, 11, 158.6143, 10.1685, 148.4458, Telescope, Trashcan, 5.738129
22, 13, -59.62088, 156.9717, -216.5926, Well, Telescope, 10.77551
23, 17, 115.3273, 146.6573, -31.32991, Stove, Harp, 6.004852
24, 5, -68.64898, -121.5305, 52.88155, Bookshelf, Table, 4.770477
