TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
1, 20, 7.91552, 8.219243, -0.3037229, Piano, Well, 8.740387
2, 17, -136.6366, 144.9, -281.5366, Stove, Harp, 6.488678
3, 24, 146.7414, 0, 146.7414, Trashcan, Chair, 6.705444
4, 10, -129.6442, -153.343, 23.69882, Plant, Bookshelf, 6.238525
5, 4, 65.29758, 0, 65.29758, Harp, Piano, 5.220886
6, 15, -46.08091, -28.01298, -18.06794, Mailbox, Wheelbarrow, 4.703979
7, 16, -151.4009, -144.7506, -6.650253, Plant, Wheelbarrow, 6.28833
8, 9, 154.3163, 153.343, 0.9733429, Stove, Bookshelf, 6.689026
9, 19, -46.54817, -47.30846, 0.7602959, Table, Well, 8.490234
10, 1, 118.2174, 138.3917, -20.17439, Well, Stove, 8.607056
11, 12, -23.19859, -12.36907, -10.82951, Table, Trashcan, 6.622131
12, 21, 146.1738, 0, 146.1738, Trashcan, Mailbox, 6.121704
13, 2, -40.486, -46.67025, 6.184242, Wheelbarrow, Stove, 8.373535
14, 11, -17.01467, 10.43102, -27.44569, Telescope, Trashcan, 4.68689
15, 14, -4.53773, 0, -4.53773, Wheelbarrow, Telescope, 6.42218
16, 23, 34.88201, -9.870657, 44.75267, Piano, Chair, 9.14093
17, 6, 6.757115, 25.74439, -18.98728, Chair, Table, 5.921387
18, 3, -41.84204, -34.83792, -7.004124, Mailbox, Piano, 11.72644
19, 5, 91.37046, -116.2627, 207.6332, Bookshelf, Table, 5.40448
20, 7, -142.9914, 0, -142.9914, Trashcan, Plant, 9.891541
21, 13, 143.1301, 156.3272, -13.19708, Well, Telescope, 4.887268
22, 22, -61.27385, -49.23639, -12.03746, Bookshelf, Mailbox, 6.171753
23, 18, -32.07786, -7.283569, -24.79429, Telescope, Harp, 6.588623
24, 8, -140.4119, 106.7626, -247.1744, Harp, Plant, 9.874878
