TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
1, 20, 149.9314, 8.961795, 140.9696, Piano, Well, 17.13055
2, 10, -139.7795, -155.7204, 15.94095, Plant, Bookshelf, 9.8414
3, 11, -84.80553, 10.1685, -94.97403, Telescope, Trashcan, 22.55188
4, 3, -151.2274, -36.09407, -115.1333, Mailbox, Piano, 8.023132
5, 16, 147.1443, -141.7693, 288.9136, Plant, Wheelbarrow, 8.840668
6, 13, 147.8244, 156.9717, -9.147308, Well, Telescope, 10.17511
7, 24, -164.3578, -125.6807, -38.67706, Trashcan, Chair, 9.407684
8, 14, -87.07267, 0, -87.07267, Wheelbarrow, Telescope, 8.757141
9, 5, -147.1792, -121.5305, -25.64864, Bookshelf, Table, 6.855682
10, 12, -143.7462, -13.0517, -130.6945, Table, Trashcan, 19.89975
11, 19, 126.9606, -47.17128, 174.1319, Table, Well, 16.34668
12, 1, -145.7131, 139.8627, -285.5758, Well, Stove, 9.090912
13, 4, -122.6115, -2.913495, -119.698, Harp, Piano, 6.788696
14, 15, -120.8609, -20.9935, -99.86739, Mailbox, Wheelbarrow, 17.36444
15, 18, 54.16234, -4.299151, 58.46149, Telescope, Harp, 6.104858
16, 2, -148.815, -49.85279, -98.96224, Wheelbarrow, Stove, 5.387878
17, 22, -130.5655, -51.54441, -79.02109, Bookshelf, Mailbox, 7.089111
18, 21, 74.86864, -146.2155, 221.0842, Trashcan, Mailbox, 6.905884
19, 7, -155.6954, -156.2066, 0.5111389, Trashcan, Plant, 6.87207
20, 17, 113.2498, 146.6573, -33.40745, Stove, Harp, 5.754761
21, 6, -152.4709, 24.73069, -177.2016, Chair, Table, 7.155945
22, 23, 144.9406, -10.49368, 155.4343, Piano, Chair, 15.44574
23, 9, -147.4029, 151.2295, -298.6324, Stove, Bookshelf, 6.505798
24, 8, 133.5185, 108.8188, 24.69973, Harp, Plant, 4.636902
