TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
24,1,131.7845,139.8627,-8.078199999999981, Well, Stove,10.45856
8,2,-27.49076,-49.85279,22.362029999999997, Wheelbarrow, Stove,5.337646
3,3,-25.77542,-36.09407,10.318650000000002, Mailbox, Piano,8.423706
19,4,55.04934,-2.913495,57.962835, Harp, Piano,8.0896
1,5,88.88543,-121.5305,210.41593, Bookshelf, Table,23.86981
16,6,26.27423,24.73069,1.5435400000000001, Chair, Table,10.99225
20,7,-138.8471,-156.2066,17.359499999999997, Trashcan, Plant,14.09473
5,8,-5.710588,108.8188,-114.529388, Harp, Plant,13.07721
22,9,156.3706,151.2295,5.1410999999999945, Stove, Bookshelf,16.91394
15,10,-128.4858,-155.7204,27.2346, Plant, Bookshelf,9.074219
14,11,17.10274,10.1685,6.934240000000001, Telescope, Trashcan,6.455261
13,12,-135.6296,-13.0517,-122.57790000000001, Table, Trashcan,14.29498
11,13,124.3211,156.9717,-32.6506, Well, Telescope,10.37494
2,14,-37.78749,0.0,-37.78749, Wheelbarrow, Telescope,5.838135
6,15,38.75162,-20.9935,59.74512, Mailbox, Wheelbarrow,5.571167
17,16,-131.1241,-141.7693,10.645199999999988, Plant, Wheelbarrow,7.105957
7,17,153.7151,146.6573,7.0578000000000145, Stove, Harp,14.32855
21,18,-34.20691,-4.299151,-29.907759, Telescope, Harp,10.00824
12,19,163.8213,-47.17128,210.99258, Table, Well,12.82721
9,20,48.57633,8.961795,39.614535, Piano, Well,5.87146
23,21,-154.6803,-146.2155,-8.464799999999997, Trashcan, Mailbox,17.28058
10,22,156.0804,-51.54441,207.62481, Bookshelf, Mailbox,8.774109
4,23,0.1282043,-10.49368,10.6218843, Piano, Chair,9.490784
18,24,-118.8399,-125.6807,6.8408000000000015, Trashcan, Chair,16.18042
