TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
2,1,153.0095,139.8627,13.146800000000013, Well, Stove,8.090088
4,2,-101.171,-49.85279,-51.31821000000001, Wheelbarrow, Stove,12.87726
21,3,58.35535,-36.09407,94.44942, Mailbox, Piano,14.32843
13,4,-11.7006,-2.913495,-8.787105, Harp, Piano,14.87903
5,5,-135.4697,-121.5305,-13.939199999999985, Bookshelf, Table,18.66534
22,6,15.07914,24.73069,-9.651549999999999, Chair, Table,11.20929
10,7,111.3929,-156.2066,267.59950000000003, Trashcan, Plant,9.20752
15,8,58.0919,108.8188,-50.72689999999999, Harp, Plant,23.80286
14,9,149.3003,151.2295,-1.9292000000000087, Stove, Bookshelf,11.77643
19,10,-56.66397,-155.7204,99.05643, Plant, Bookshelf,18.86548
23,11,53.48432,10.1685,43.315819999999995, Telescope, Trashcan,16.56348
12,12,44.99999,-13.0517,58.051689999999994, Table, Trashcan,10.14148
16,13,55.18995,156.9717,-101.78174999999999, Well, Telescope,21.10071
9,14,-106.5044,0.0,-106.5044, Wheelbarrow, Telescope,32.8938
18,15,45.93155,-20.9935,66.92505, Mailbox, Wheelbarrow,29.84143
7,16,-17.76268,-141.7693,124.00661999999998, Plant, Wheelbarrow,30.1582
8,17,152.1245,146.6573,5.46720000000002, Stove, Harp,14.29492
20,18,18.43493,-4.299151,22.734081000000003, Telescope, Harp,22.75208
11,19,-34.52401,-47.17128,12.647270000000006, Table, Well,13.41107
6,20,22.02728,8.961795,13.065485, Piano, Well,8.240051
24,21,147.4825,-146.2155,293.698, Trashcan, Mailbox,15.22906
17,22,-140.4403,-51.54441,-88.89589000000001, Bookshelf, Mailbox,7.672729
3,23,-114.7515,-10.49368,-104.25782, Piano, Chair,12.96072
1,24,-140.8752,-125.6807,-15.194500000000005, Trashcan, Chair,23.73627
