TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
23,1,141.8212,139.8627,1.958500000000015, Well, Stove,12.94385
9,2,-50.73338,-49.85279,-0.880589999999998, Wheelbarrow, Stove,7.77301
17,3,-23.5104,-36.09407,12.583670000000001, Mailbox, Piano,13.64465
24,4,2.560326,-2.913495,5.473821, Harp, Piano,16.61371
10,5,-76.74628,-121.5305,44.784220000000005, Bookshelf, Table,16.9137
22,6,11.52374,24.73069,-13.206949999999999, Chair, Table,18.38184
13,7,-148.7508,-156.2066,7.455800000000011, Trashcan, Plant,12.15991
16,8,112.2205,108.8188,3.4017000000000053, Harp, Plant,13.91138
6,9,120.9638,151.2295,-30.265699999999995, Stove, Bookshelf,17.49756
7,10,-120.551,-155.7204,35.16940000000001, Plant, Bookshelf,70.59152
12,11,155.7628,10.1685,145.5943, Telescope, Trashcan,20.3504
14,12,-16.99083,-13.0517,-3.9391299999999987, Table, Trashcan,11.22601
1,13,161.7055,156.9717,4.733800000000002, Well, Telescope,16.94754
21,14,-123.9511,0.0,-123.9511, Wheelbarrow, Telescope,8.707153
4,15,-16.40402,-20.9935,4.589480000000002, Mailbox, Wheelbarrow,12.56012
15,16,-12.52879,-141.7693,129.24050999999997, Plant, Wheelbarrow,12.7605
18,17,117.3043,146.6573,-29.352999999999994, Stove, Harp,12.91058
11,18,150.2126,-4.299151,154.511751, Telescope, Harp,18.6322
19,19,-31.26373,-47.17128,15.907550000000004, Table, Well,7.472839
2,20,12.52881,8.961795,3.5670149999999996, Piano, Well,19.28259
20,21,-123.9511,-146.2155,22.264399999999995, Trashcan, Mailbox,47.83942
8,22,-15.70099,-51.54441,35.84342, Bookshelf, Mailbox,17.26398
3,23,-28.31845,-10.49368,-17.82477, Piano, Chair,18.71527
5,24,-148.1931,-125.6807,-22.512399999999985, Trashcan, Chair,67.52252
