TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
1, 8, 90.30639, 108.8188, -18.51242, Harp, Plant, 27.48914
2, 6, 18.84129, 24.73069, -5.889399, Chair, Table, 17.44766
3, 19, -27.5528, -47.17128, 19.61847, Table, Well, 19.8996
4, 12, -16.67504, -13.0517, -3.623336, Table, Trashcan, 11.57623
5, 22, -34.1932, -51.54441, 17.35122, Bookshelf, Mailbox, 14.89557
6, 3, -23.48876, -36.09407, 12.60531, Mailbox, Piano, 7.622803
7, 11, -22.40985, 10.1685, -32.57836, Telescope, Trashcan, 16.99741
8, 24, -106.9755, -125.6807, 18.7052, Trashcan, Chair, 14.71204
9, 9, 144.0902, 151.2295, -7.139328, Stove, Bookshelf, 16.91397
10, 15, -20.74607, -20.9935, 0.2474251, Mailbox, Wheelbarrow, 18.59857
11, 23, -177.8789, -10.49368, -167.3852, Piano, Chair, 32.15979
12, 1, 139.2427, 139.8627, -0.6199951, Well, Stove, 31.07553
13, 21, -133.884, -146.2155, 12.33157, Trashcan, Mailbox, 15.84625
14, 7, -149.6208, -156.2066, 6.585739, Trashcan, Plant, 8.790649
15, 10, -157.6938, -155.7204, -1.973373, Plant, Bookshelf, 20.23328
16, 16, -144.1178, -141.7693, -2.34848, Plant, Wheelbarrow, 23.13562
17, 4, -2.56025, -2.913495, 0.3532448, Harp, Piano, 24.32007
18, 20, -137.9903, 8.961795, -146.9521, Piano, Well, 22.40173
19, 14, -12.29857, 0, -12.29857, Wheelbarrow, Telescope, 28.72357
20, 5, -116.1183, -121.5305, 5.412216, Bookshelf, Table, 42.03461
21, 13, 156.6891, 156.9717, -0.2826233, Well, Telescope, 35.31226
22, 2, -21.43963, -49.85279, 28.41316, Wheelbarrow, Stove, 19.1156
23, 18, -15.30086, -4.299151, -11.00171, Telescope, Harp, 24.73706
24, 17, 140.0796, 146.6573, -6.577667, Stove, Harp, 19.16577
