TrialNumber, TrialID, RealAngle, TrueAngle, AngleError, StartingObject, EndObject, TimeTaken
10,1,142.8257,139.8627,2.9630000000000223, Well, Stove,5.771301
4,2,136.0809,-49.85279,185.93369, Wheelbarrow, Stove,14.82874
13,3,35.36244,-36.09407,71.45651000000001, Mailbox, Piano,8.306763
5,4,120.7685,-2.913495,123.681995, Harp, Piano,11.05927
20,5,18.21288,-121.5305,139.74338, Bookshelf, Table,18.34857
19,6,48.75171,24.73069,24.021020000000004, Chair, Table,6.52179
16,7,155.7352,-156.2066,311.9418, Trashcan, Plant,8.790833
8,8,168.6208,108.8188,59.80200000000001, Harp, Plant,16.76373
15,9,139.6001,151.2295,-11.629400000000004, Stove, Bookshelf,5.304138
21,10,34.99203,-155.7204,190.71243, Plant, Bookshelf,4.920654
12,11,35.36244,10.1685,25.193939999999998, Telescope, Trashcan,34.51184
23,12,135.3515,-13.0517,148.4032, Table, Trashcan,4.837708
7,13,135.264,156.9717,-21.70769999999999, Well, Telescope,15.66315
1,14,133.704,0.0,133.704, Wheelbarrow, Telescope,32.02652
9,15,39.89783,-20.9935,60.891329999999996, Mailbox, Wheelbarrow,20.06647
3,16,54.97994,-141.7693,196.74924, Plant, Wheelbarrow,12.6604
6,17,157.6713,146.6573,11.01400000000001, Stove, Harp,12.56006
17,18,-60.92165,-4.299151,-56.622499, Telescope, Harp,12.32672
22,19,-21.7408,-47.17128,25.430480000000003, Table, Well,8.840576
18,20,-42.31299,8.961795,-51.274785, Piano, Well,5.020996
24,21,137.6134,-146.2155,283.8289, Trashcan, Mailbox,20.11615
14,22,122.087,-51.54441,173.63141000000002, Bookshelf, Mailbox,5.571228
2,23,121.3287,-10.49368,131.82238, Piano, Chair,35.96298
11,24,-55.09751,-125.6807,70.58319, Trashcan, Chair,8.123413
