Participant ID,Level,Time,PosX,PosY,PosZ,Facing Angle
407,4,37.30222,1.767627,1.623818,3.031995,187.0738
407,4,37.52444,1.767254,1.62521,3.041662,185.9379
407,4,37.74667,1.763846,1.624697,3.050455,186.0444
407,4,37.96889,1.763522,1.624755,3.05291,186.0438
407,4,38.19111,1.765948,1.624926,3.053941,185.4269
407,4,38.41333,1.767833,1.62541,3.053184,185.0473
407,4,38.63556,1.774264,1.685789,3.064601,181.8584
407,4,38.85778,1.775094,1.685468,3.096689,180.5516
407,4,39.08,1.76531,1.682882,3.10324,185.938
407,4,39.30222,1.742312,1.674927,3.105371,200.8222
407,4,39.52444,1.736246,1.650045,3.094678,201.5112
407,4,39.74667,1.727019,1.643188,3.087891,209.5188
407,4,39.96889,1.701443,1.63501,3.099612,234.0477
407,4,40.19111,1.687246,1.628619,3.131878,256.8858
407,4,40.41333,1.716575,1.650407,3.120434,236.0891
407,4,40.63556,1.802911,1.690267,3.137324,181.2283
407,4,40.85778,1.812017,1.687454,3.170871,170.6477
407,4,41.08,1.800228,1.68384,3.176816,172.6911
407,4,41.30222,1.778195,1.676135,3.17641,186.1765
407,4,41.52444,1.760839,1.662095,3.173965,197.6673
407,4,41.74667,1.76254,1.65769,3.167938,196.1519
407,4,41.96889,1.797329,1.656541,3.153463,182.8735
407,4,42.19111,1.900806,1.639923,3.147564,159.3153
407,4,42.41333,2.005778,1.63425,3.135596,151.8533
407,4,42.63556,2.099953,1.617846,3.06497,158.4603
407,4,42.85778,2.199932,1.618431,2.967379,156.6616
407,4,43.08,2.279919,1.624006,2.906822,158.5521
407,4,43.30222,2.399117,1.642215,2.83269,163.2901
407,4,43.52444,2.515985,1.62964,2.769842,170.7102
407,4,43.74667,2.620343,1.648608,2.71007,181.1387
407,4,43.96889,2.683106,1.646053,2.629171,187.8745
407,4,44.19111,2.699155,1.6349,2.53928,191.4918
407,4,44.41333,2.68234,1.630521,2.409,194.0654
407,4,44.63556,2.669608,1.643749,2.279434,195.4064
407,4,44.85778,2.671062,1.646046,2.138511,195.1521
407,4,45.08,2.688766,1.61604,1.977769,193.5343
407,4,45.30222,2.729629,1.633444,1.757139,194.3837
407,4,45.52444,2.749089,1.663927,1.558065,191.4577
407,4,45.74667,2.739822,1.631092,1.347068,191.2989
407,4,45.96889,2.706305,1.630828,1.103964,192.0036
407,4,46.19111,2.690968,1.670794,0.8737998,192.8894
407,4,46.41333,2.697108,1.631464,0.6064286,194.5025
407,4,46.63556,2.730865,1.649963,0.3732505,200.3071
407,4,46.85778,2.741122,1.68673,0.1347217,205.918
407,4,47.08,2.721553,1.643095,-0.08630686,212.9835
407,4,47.30222,2.674386,1.641416,-0.316101,224.8917
407,4,47.52444,2.621435,1.678183,-0.5067455,247.2415
407,4,47.74667,2.559873,1.667527,-0.6710752,273.1522
407,4,47.96889,2.492422,1.665738,-0.8520021,283.5413
407,4,48.19111,2.399391,1.678937,-0.9770412,293.4998
407,4,48.41333,2.301,1.675869,-1.027973,304.9242
407,4,48.63556,2.207233,1.671072,-1.008654,307.5065
407,4,48.85778,2.120741,1.665327,-0.9758335,310.8913
407,4,49.08,2.061921,1.665544,-0.967696,318.3477
407,4,49.30222,2.032075,1.663178,-0.9975387,323.1122
407,14,65.95778,-2.94759,1.720459,0.06588989,88.31148
407,14,66.18,-2.957061,1.711449,0.03030027,94.3929
407,14,66.40222,-2.971358,1.711096,0.01946351,89.46069
407,14,66.62444,-2.983072,1.707469,0.02078281,85.19695
407,14,66.84666,-2.970295,1.695431,-0.02802924,112.6496
407,14,67.06889,-2.938728,1.675591,-0.1216971,134.9903
407,14,67.29111,-2.880075,1.651327,-0.2691011,130.7391
407,14,67.51334,-2.796547,1.645095,-0.428816,118.0771
407,14,67.73556,-2.649882,1.653941,-0.5773435,114.3452
407,14,67.95778,-2.423422,1.622437,-0.6928461,116.1004
407,14,68.18,-2.164049,1.660616,-0.7860876,121.0433
407,14,68.40222,-1.895998,1.671694,-0.857378,125.0024
407,14,68.62444,-1.602805,1.631236,-0.9424729,131.9973
407,14,68.84666,-1.34383,1.688803,-1.034856,145.5566
407,14,69.06889,-1.127669,1.660026,-1.169683,157.4867
