Participant ID,Level,Time,PosX,PosY,PosZ,Facing Angle
414,11,156.5956,2.607885,1.77669,1.031036,87.53783
414,11,156.8178,2.603976,1.782411,1.032815,86.08041
414,11,157.04,2.582481,1.800722,1.022399,89.88309
414,11,157.2622,2.562307,1.797598,1.003688,100.3233
414,11,157.4845,2.55112,1.79243,1.001913,100.0871
414,11,157.7067,2.559285,1.778154,1.01204,93.7225
414,11,157.9289,2.573154,1.754358,1.018113,89.88477
414,11,158.1511,2.591433,1.728204,1.026196,89.67932
414,11,158.3733,2.599083,1.773143,1.032999,85.46698
414,11,158.5956,2.563462,1.798257,1.038821,83.84892
414,11,158.8178,2.545556,1.793678,1.030125,92.53397
414,11,159.04,2.535258,1.792361,1.024869,95.40266
414,11,159.2622,2.535356,1.793261,1.022926,94.81898
414,11,159.4845,2.551403,1.796707,1.022673,93.03954
414,11,159.7067,2.570384,1.795485,1.012907,92.16929
414,11,159.9289,2.585325,1.795531,0.9897574,93.86793
414,11,160.1511,2.603802,1.784844,0.975174,89.50232
414,11,160.3733,2.623221,1.747046,0.9651979,86.60194
414,11,160.5956,2.637853,1.739311,0.9578098,86.34536
414,11,160.8178,2.648658,1.741837,0.9580626,84.67061
414,11,161.04,2.651012,1.739757,0.9908081,67.98204
414,11,161.2622,2.628621,1.686574,1.068383,38.82402
414,11,161.4845,2.59506,1.675282,1.144026,16.18329
414,11,161.7067,2.574071,1.688079,1.176029,353.388
414,11,161.9289,2.585229,1.694534,1.164468,323.212
414,11,162.1511,2.601988,1.718839,1.119366,297.3881
414,11,162.3733,2.587749,1.731236,1.091278,284.6877
414,11,162.5956,2.553077,1.738562,1.08298,281.1074
414,11,162.8178,2.456955,1.738773,1.059837,270.4938
414,11,163.04,2.313884,1.731619,1.01462,266.5126
414,11,163.2622,2.148752,1.722644,0.9970124,270.6595
414,11,163.4845,1.931608,1.722824,1.01396,270.2135
414,11,163.7067,1.667858,1.751529,1.026066,269.6991
414,11,163.9289,1.396493,1.72169,0.9950091,268.6215
414,11,164.1511,1.103692,1.743067,0.9708819,267.9361
414,11,164.3733,0.8311685,1.717976,0.9857321,271.6029
414,11,164.5956,0.5282391,1.728884,1.019105,270.1208
414,11,164.8178,0.2169497,1.726203,1.010783,269.2437
414,11,165.04,-0.1141164,1.723882,0.9875362,274.6525
414,11,165.2622,-0.4249358,1.727661,0.9963483,279.1068
414,11,165.4845,-0.7471457,1.714747,1.03444,280.0316
414,11,165.7067,-1.048579,1.731573,1.070243,286.8748
414,11,165.9289,-1.32604,1.703732,1.138236,310.4358
414,11,166.1511,-1.520448,1.734774,1.237216,348.1125
414,11,166.3733,-1.688575,1.715304,1.310951,9.448095
414,11,166.5956,-1.87573,1.731125,1.330793,23.09185
414,11,166.8178,-2.011421,1.72821,1.325098,47.42245
414,11,167.04,-2.076935,1.729051,1.255951,79.38448
414,11,167.2622,-2.22238,1.716949,1.153305,122.085
414,11,167.4845,-2.400074,1.740699,1.083754,166.0752
414,11,167.7067,-2.555145,1.741306,1.022751,178.9039
414,11,167.9289,-2.668329,1.734208,0.8999823,169.4127
414,11,168.1511,-2.748141,1.725537,0.7757414,160.8924
414,11,168.3733,-2.771055,1.712243,0.6198033,153.0278
414,11,168.5956,-2.743184,1.735889,0.4399187,140.9623
414,11,168.8178,-2.715325,1.741185,0.281799,125.5081
414,11,169.04,-2.686824,1.745289,0.1529921,107.6539
414,4,191.5178,1.82559,1.722018,3.266029,179.2482
414,4,191.74,1.832119,1.739752,3.286935,182.1104
414,4,191.9622,1.833983,1.745759,3.307961,185.9429
414,4,192.1844,1.819949,1.747382,3.318097,198.1828
414,4,192.4067,1.819252,1.740296,3.316635,201.3952
414,4,192.6289,1.837501,1.715882,3.291474,191.4382
414,4,192.8511,1.843835,1.732162,3.274866,188.8913
414,4,193.0733,1.850806,1.754496,3.286055,189.1543
414,4,193.2956,1.848594,1.750434,3.285049,190.1398
414,4,193.5178,1.845624,1.749339,3.280625,189.3659
414,4,193.74,1.841348,1.748428,3.269954,189.6173
414,4,193.9622,1.841899,1.747963,3.260426,189.0138
414,4,194.1844,1.886145,1.739303,3.254461,164.5735
414,4,194.4067,1.903283,1.736011,3.253839,158.5279
414,4,194.6289,1.91253,1.736855,3.232198,159.9176
414,4,194.8511,1.980544,1.730223,3.176075,153.1538
414,4,195.0733,2.081503,1.724853,3.110206,150.737
414,4,195.2956,2.150215,1.721501,3.014877,154.5392
414,4,195.5178,2.211051,1.697664,2.858259,154.9273
414,4,195.74,2.264629,1.721595,2.73015,148.1097
414,4,195.9622,2.307968,1.731024,2.662982,156.0609
414,4,196.1844,2.336711,1.725456,2.652519,162.5652
414,4,196.4067,2.362337,1.729056,2.626987,165.8008
414,4,196.6289,2.420022,1.732664,2.597657,151.608
414,4,196.8511,2.501676,1.730972,2.676429,88.74103
414,4,197.0733,2.441407,1.718246,2.757774,25.38973
414,4,197.2956,2.410775,1.719025,2.760712,9.462476
414,4,197.5178,2.413293,1.705932,2.768818,12.87111
414,4,197.74,2.492556,1.706895,2.699116,75.77026
414,4,197.9622,2.485166,1.720144,2.580233,143.382
414,4,198.1844,2.477434,1.71421,2.553242,178.7805
414,4,198.4067,2.495336,1.705204,2.479715,190.1225
414,4,198.6289,2.489903,1.71034,2.334916,192.8936
414,4,198.8511,2.472869,1.727904,2.151536,194.558
414,4,199.0733,2.483174,1.72169,1.959735,198.6066
414,4,199.2956,2.498661,1.722298,1.745476,207.6442
414,4,199.5178,2.483175,1.746713,1.548996,225.3877
414,4,199.74,2.464793,1.724165,1.339651,224.7301
414,4,199.9622,2.454536,1.74867,1.07347,203.4472
414,4,200.1844,2.468675,1.752662,0.8239598,194.3926
414,4,200.4067,2.512025,1.73562,0.5738654,190.1952
414,4,200.6289,2.539394,1.767908,0.3137942,194.5749
414,4,200.8511,2.535646,1.747483,0.0643695,200.0412
414,4,201.0733,2.503629,1.749531,-0.1980512,203.9213
414,4,201.2956,2.479549,1.767887,-0.4261308,219.3201
414,4,201.5178,2.437139,1.743258,-0.6268065,253.4512
414,4,201.74,2.366067,1.762754,-0.7934195,278.302
414,4,201.9622,2.266343,1.749883,-0.9066634,291.8301
414,4,202.1844,2.148139,1.74632,-0.9607532,306.7544
414,7,214.6844,-2.503066,1.824271,-2.064265,267.7092
414,7,214.9067,-2.480274,1.835541,-2.055704,269.2314
414,7,215.1289,-2.463078,1.838127,-2.039871,277.2824
414,7,215.3511,-2.463509,1.836359,-2.037993,274.2258
414,7,215.5733,-2.465964,1.834744,-2.033302,273.7537
414,7,215.7956,-2.463226,1.834611,-2.032588,273.3544
414,7,216.0178,-2.454119,1.841281,-2.034569,270.5746
414,7,216.24,-2.431641,1.836186,-2.06605,241.0152
414,7,216.4622,-2.327323,1.83948,-2.102516,192.6283
414,7,216.6844,-2.170254,1.831595,-2.073497,139.3806
414,7,216.9067,-2.046637,1.824328,-2.022768,100.2173
414,7,217.1289,-1.938168,1.813974,-2.022952,95.22076
414,7,217.3511,-1.841415,1.779513,-2.057288,100.055
414,7,217.5733,-1.776232,1.747631,-2.115367,120.2349
414,7,217.7956,-1.79147,1.750648,-2.148276,163.4676
414,7,218.0178,-1.734439,1.743672,-2.09621,153.5507
414,7,218.24,-1.59031,1.761899,-1.954194,92.74352
414,7,218.4622,-1.493911,1.771281,-1.847931,57.72039
414,7,218.6844,-1.349797,1.77099,-1.800151,44.25364
