Participant ID,Level,Time,PosX,PosY,PosZ,Facing Angle
451,1,146.8867,-2.674397,1.556428,2.847902,279.3672
451,1,147.1089,-2.675505,1.557374,2.847136,278.6138
451,1,147.3311,-2.676518,1.560578,2.84624,278.2086
451,1,147.5533,-2.678229,1.568558,2.843626,277.4773
451,1,147.7756,-2.672938,1.585333,2.841008,276.1611
451,1,147.9978,-2.660615,1.595335,2.838233,275.3798
451,1,148.22,-2.645566,1.597823,2.83535,275.4529
451,1,148.4422,-2.629657,1.600131,2.831738,274.8112
451,1,148.6644,-2.623042,1.600281,2.841911,285.6247
451,1,148.8867,-2.619006,1.597471,2.853921,297.0115
451,1,149.1089,-2.620566,1.592215,2.860885,306.616
451,1,149.3311,-2.645621,1.588609,2.855941,332.811
451,1,149.5533,-2.669781,1.586567,2.846684,13.6418
451,1,149.7756,-2.650822,1.578217,2.831829,44.07823
451,1,149.9978,-2.618288,1.572797,2.819522,66.0046
451,1,150.22,-2.595955,1.564368,2.816207,80.86304
451,1,150.4422,-2.594887,1.562891,2.839176,94.95736
451,1,150.6644,-2.601281,1.564398,2.881641,110.3238
451,1,150.8867,-2.594923,1.558191,2.91588,122.6505
451,1,151.1089,-2.575964,1.555543,2.928638,134.703
451,1,151.3311,-2.544111,1.549963,2.924871,143.3309
451,1,151.5533,-2.486333,1.543054,2.906477,143.5482
451,1,151.7756,-2.392433,1.54035,2.882711,129.9398
451,1,151.9978,-2.289848,1.553313,2.8793,109.2351
451,1,152.22,-2.187427,1.554245,2.903123,94.76697
451,1,152.4422,-2.06736,1.541145,2.955056,91.41433
451,1,152.6644,-1.936658,1.553914,3.024045,93.11767
451,1,152.8867,-1.828446,1.564236,3.074672,96.38459
451,1,153.1089,-1.724545,1.561574,3.104078,98.93879
451,1,153.3311,-1.589751,1.54919,3.113365,96.71236
451,1,153.5533,-1.423958,1.563218,3.109601,97.1039
451,1,153.7756,-1.273312,1.575219,3.115095,97.08205
451,1,153.9978,-1.12904,1.568218,3.126141,96.78828
451,1,154.22,-0.964946,1.557217,3.146349,99.0775
451,1,154.4422,-0.7899906,1.575131,3.166972,101.5352
451,1,154.6644,-0.6167226,1.580182,3.16877,101.5038
451,1,154.8867,-0.4229422,1.558473,3.150886,100.2309
451,1,155.1089,-0.2082435,1.577581,3.115796,100.8651
451,1,155.3311,-0.009877807,1.586366,3.112624,100.0549
451,1,155.5533,0.1748741,1.566164,3.11614,99.77325
451,1,155.7756,0.3786832,1.577151,3.143416,98.6487
451,1,155.9978,0.5721817,1.591549,3.152125,95.79259
451,1,156.22,0.7650087,1.574089,3.133659,96.36475
451,1,156.4422,0.9765375,1.581855,3.08985,97.91989
451,1,156.6644,1.184176,1.599931,3.064642,97.91949
451,1,156.8867,1.400684,1.582025,3.054538,100.0005
451,1,157.1089,1.628827,1.584166,3.049788,108.8953
451,1,157.3311,1.839029,1.602952,3.010301,122.6696
451,1,157.5533,2.024846,1.576727,2.93304,133.7927
451,1,157.7756,2.197696,1.597194,2.815377,141.9392
451,1,157.9978,2.340506,1.612295,2.698369,153.2204
451,1,158.22,2.474735,1.591663,2.574527,160.2332
451,1,158.4422,2.598608,1.60786,2.43468,171.7681
451,1,158.6644,2.666473,1.614285,2.298394,186.5752
451,1,158.8867,2.67825,1.59611,2.155372,195.4351
451,1,159.1089,2.64673,1.596518,1.980292,195.9482
451,1,159.3311,2.621035,1.62333,1.81784,191.7303
451,1,159.5533,2.626104,1.628225,1.69354,185.5371
451,1,159.7756,2.655904,1.617017,1.578029,184.0557
451,1,159.9978,2.711761,1.629227,1.436208,185.51
451,1,160.22,2.772214,1.638754,1.281627,183.2211
451,1,160.4422,2.810179,1.625908,1.151935,183.206
451,1,160.6644,2.816552,1.614963,1.052976,183.5302
451,1,160.8867,2.807319,1.593584,0.918973,183.2541
451,1,161.1089,2.784529,1.595111,0.7321121,184.25
451,1,161.3311,2.778427,1.613242,0.5471231,186.6179
451,1,161.5533,2.780818,1.596976,0.3609235,190.2195
451,1,161.7756,2.792629,1.596816,0.1596383,198.6751
451,1,161.9978,2.782478,1.613193,-0.02860424,208.8411
451,1,162.22,2.74416,1.597108,-0.1957798,216.0784
451,1,162.4422,2.670932,1.586677,-0.3590388,225.1535
451,1,162.6644,2.60107,1.610495,-0.4994547,234.2977
451,1,162.8867,2.540903,1.612146,-0.6255492,240.5087
451,1,163.1089,2.487433,1.615005,-0.7491035,247.2819
451,1,163.3311,2.452553,1.622271,-0.8647573,243.2078
451,1,163.5533,2.460703,1.622862,-0.9552144,217.5019
451,1,163.7756,2.47997,1.624189,-0.9867272,206.7596
451,1,163.9978,2.455368,1.624462,-0.9707522,237.8639
451,1,164.22,2.433557,1.621969,-0.9482509,274.332
451,1,164.4422,2.4123,1.616352,-0.9514579,285.1001
451,1,164.6644,2.399023,1.614535,-0.94603,290.2005
451,1,164.8867,2.392442,1.61759,-0.9405907,288.5606
451,1,165.1089,2.381214,1.618748,-0.9590392,272.6624
451,1,165.3311,2.355036,1.613893,-0.9928388,254.9275
451,1,165.5533,2.300426,1.605545,-1.031938,237.8479
451,1,165.7756,2.207303,1.592317,-1.082813,221.1439
451,1,165.9978,2.093663,1.610795,-1.139186,212.1752
451,1,166.22,1.978215,1.625152,-1.191716,227.0687
451,1,166.4422,1.878673,1.616585,-1.219558,255.798
451,1,166.6644,1.783641,1.609419,-1.234969,270.8802
451,1,166.8867,1.653658,1.588419,-1.224537,278.7588
451,1,167.1089,1.469793,1.579854,-1.177415,285.1928
451,1,167.3311,1.279134,1.604468,-1.127872,290.7475
451,1,167.5533,1.091042,1.600099,-1.10027,294.9342
451,1,167.7756,0.8867142,1.57621,-1.087197,300.0782
451,1,167.9978,0.6883841,1.602563,-1.059264,306.7749
451,1,168.22,0.5250739,1.592715,-0.9945021,317.5513
451,1,168.4422,0.3877106,1.57737,-0.8959953,330.0272
451,1,168.6644,0.2794847,1.591548,-0.7965852,345.4182
451,1,168.8867,0.1912066,1.595558,-0.6978905,356.3362
451,1,169.1089,0.1099862,1.58368,-0.5851353,5.123711
451,1,169.3311,0.03445919,1.589869,-0.4559687,12.27288
451,1,169.5533,-0.01434251,1.586874,-0.3205272,16.19718
451,1,169.7756,-0.02946624,1.57589,-0.1721595,20.06958
451,1,169.9978,-0.02129942,1.56802,0.007519083,23.94666
451,1,170.22,-0.01583117,1.575415,0.1604399,29.58094
451,1,170.4422,-0.01128958,1.569116,0.3069591,36.64587
451,1,170.6644,-0.01447052,1.563686,0.4443961,47.87071
451,1,170.8867,-0.01698508,1.58388,0.5785038,58.92584
451,1,171.1089,-0.0396715,1.585379,0.6752255,49.48217
451,1,171.3311,-0.08785154,1.588235,0.7208366,13.10492
451,1,171.5533,-0.09241766,1.591172,0.7415432,15.45004
451,1,171.7756,-0.05068332,1.586112,0.7591589,48.64937
451,1,171.9978,0.01402537,1.577583,0.7736079,80.31017
451,1,172.22,0.09989776,1.563955,0.8106678,96.33234
451,1,172.4422,0.2086355,1.575419,0.873013,99.49483
451,1,172.6644,0.2938551,1.584653,0.933081,99.9662
451,1,172.8867,0.3246102,1.587267,0.9714432,95.42325
451,1,173.1089,0.3091472,1.602609,1.00386,62.28083
451,1,173.3311,0.2571532,1.606193,1.025088,8.116604
451,1,173.5533,0.1971594,1.601884,1.008641,323.2501
451,1,173.7756,0.1430435,1.597365,0.9774916,293.4579
451,1,173.9978,0.07157034,1.594892,0.9423645,276.2306
451,1,174.22,-0.02282661,1.594722,0.9070592,265.885
451,1,174.4422,-0.1274163,1.58525,0.8940598,264.7088
451,1,174.6644,-0.2223552,1.586369,0.8986115,270.2104
451,1,174.8867,-0.3288845,1.578183,0.9244153,276.3763
451,1,175.1089,-0.4704066,1.562427,0.9548346,280.3478
451,1,175.3311,-0.6395531,1.576919,0.9846275,284.9585
451,1,175.5533,-0.796909,1.581623,0.9990868,288.8354
451,1,175.7756,-0.9612004,1.567065,0.9976785,291.6774
451,1,175.9978,-1.139282,1.566509,0.9903798,300.7193
451,1,176.22,-1.287316,1.574654,1.007957,318.3509
451,1,176.4422,-1.389449,1.566296,1.059439,343.6381
451,1,176.6644,-1.494137,1.543934,1.132914,358.5994
451,9,208.2756,1.80037,1.62128,1.069142,182.6
451,9,208.4978,1.80622,1.625401,1.039315,183.3723
451,9,208.72,1.810553,1.638327,1.021441,185.7328
451,9,208.9422,1.812905,1.662057,1.031478,184.1838
451,9,209.1644,1.807111,1.665404,1.054339,184.0962
451,9,209.3867,1.80438,1.658157,1.077368,187.6274
451,9,209.6089,1.810681,1.649478,1.105852,202.0266
451,9,209.8311,1.838774,1.640491,1.145998,212.6551
451,9,210.0533,1.864054,1.637602,1.175446,212.4572
451,9,210.2756,1.857344,1.636341,1.202638,217.1796
451,9,210.4978,1.818383,1.629758,1.234939,245.0806
451,9,210.72,1.794707,1.618638,1.262365,269.0726
451,9,210.9422,1.781211,1.619148,1.274379,290.1297
451,9,211.1644,1.786282,1.617732,1.259482,320.9255
451,9,211.3867,1.816102,1.617365,1.214292,357.22
451,9,211.6089,1.846869,1.617942,1.166865,14.52525
451,9,211.8311,1.856116,1.62117,1.136911,18.1816
451,9,212.0533,1.868951,1.62415,1.116026,26.91747
451,9,212.2756,1.918663,1.629259,1.098037,40.40961
451,9,212.4978,2.025023,1.625626,1.080922,41.89244
451,9,212.72,2.193129,1.615959,1.072371,32.77433
451,9,212.9422,2.356335,1.611128,1.050116,41.86676
451,9,213.1644,2.4288,1.618813,0.9998826,69.79866
451,9,213.3867,2.436821,1.625685,0.9707776,85.81322
451,9,213.6089,2.447793,1.628906,0.9550153,95.27055
451,9,213.8311,2.464821,1.627097,0.9268497,113.4148
451,9,214.0533,2.457944,1.628615,0.9207025,139.9986
451,9,214.2756,2.438928,1.620171,0.9462627,160.9102
451,9,214.4978,2.444473,1.6101,0.9627445,173.7672
451,9,214.72,2.476984,1.610639,0.9281337,180.1858
451,9,214.9422,2.535929,1.595328,0.8256549,182.1306
451,9,215.1644,2.582274,1.600915,0.6546416,183.2061
451,9,215.3867,2.627523,1.618718,0.4839694,187.265
451,9,215.6089,2.691022,1.61102,0.321444,191.7694
451,9,215.8311,2.772177,1.594556,0.1405843,199.7796
451,9,216.0533,2.830099,1.6185,-0.04527941,211.1934
451,9,216.2756,2.83049,1.606301,-0.2154982,222.4241
451,9,216.4978,2.779833,1.59422,-0.3835053,233.1861
451,9,216.72,2.715239,1.615389,-0.5493727,243.7865
451,9,216.9422,2.650305,1.613831,-0.6837796,255.4513
451,9,217.1644,2.576071,1.601894,-0.8248758,269.206
451,9,217.3867,2.498618,1.615303,-0.945884,282.829
451,9,217.6089,2.41314,1.615069,-1.036909,289.3918
451,9,217.8311,2.29762,1.603841,-1.095518,286.7256
451,9,218.0533,2.143895,1.60263,-1.131369,281.4103
451,9,218.2756,1.997754,1.619954,-1.162303,270.0611
451,9,218.4978,1.87933,1.621408,-1.211913,236.6054
451,9,218.72,1.799439,1.605203,-1.263451,198.6616
451,9,218.9422,1.731188,1.616685,-1.286364,173.9197
451,9,219.1644,1.671036,1.615258,-1.298537,159.4579
451,9,219.3867,1.657318,1.60762,-1.345892,143.3268
451,9,219.6089,1.706189,1.589505,-1.441497,130.9879
451,9,219.8311,1.778302,1.594958,-1.572028,128.2737
451,9,220.0533,1.824479,1.60444,-1.701875,126.3009
451,9,220.2756,1.849014,1.590087,-1.859758,125.0756
451,9,220.4978,1.851194,1.587214,-2.068838,126.855
451,9,220.72,1.868338,1.609769,-2.270264,127.788
451,9,220.9422,1.905792,1.603435,-2.436742,128.4107
451,9,221.1644,1.93009,1.608299,-2.602108,165.9314
451,9,221.3867,1.906273,1.625974,-2.725588,218.2859
451,9,221.6089,1.854481,1.615359,-2.798206,255.6921
451,9,221.8311,1.758073,1.594387,-2.87042,271.7821
451,9,222.0533,1.612341,1.593436,-2.934555,284.3284
451,9,222.2756,1.466792,1.604214,-2.996593,296.1848
451,9,222.4978,1.3008,1.588478,-3.064061,302.1962
451,9,222.72,1.103893,1.578644,-3.151662,300.576
451,9,222.9422,0.8987988,1.606426,-3.216647,297.5539
451,9,223.1644,0.7273763,1.599101,-3.240914,298.2565
451,9,223.3867,0.590354,1.604636,-3.244812,303.2117
451,9,223.6089,0.4485366,1.607647,-3.266702,301.298
451,9,223.8311,0.277834,1.585808,-3.303016,295.9719
451,9,224.0533,0.09317036,1.595359,-3.350133,293.3848
451,9,224.2756,-0.07147878,1.603745,-3.369457,293.1731
451,9,224.4978,-0.2364128,1.588861,-3.36544,293.8965
451,9,224.72,-0.4189945,1.579885,-3.336586,297.4015
451,9,224.9422,-0.5854132,1.598867,-3.310127,303.6017
451,9,225.1644,-0.7295304,1.599355,-3.283746,316.3936
451,9,225.3867,-0.8643084,1.591069,-3.26099,344.7775
451,9,225.6089,-0.9879995,1.604746,-3.255354,15.98806
451,9,225.8311,-1.111516,1.598112,-3.240084,23.55245
451,9,226.0533,-1.271157,1.586958,-3.189413,1.693317
451,9,226.2756,-1.468381,1.568168,-3.13147,322.201
451,9,226.4978,-1.654226,1.587963,-3.068609,305.1826
451,9,226.72,-1.834845,1.586478,-3.010265,303.5851
451,9,226.9422,-2.0345,1.555597,-2.958024,307.2757
451,9,227.1644,-2.228379,1.581773,-2.894752,318.4559
451,9,227.3867,-2.363742,1.584491,-2.800844,333.554
451,9,227.6089,-2.459145,1.564624,-2.683559,344.8771
