Participant ID,Level,Time,PosX,PosY,PosZ,Facing Angle
438,14,165.18,-2.94697,1.477092,-0.131408,81.5337
438,14,165.4022,-2.947939,1.477957,-0.1352015,79.58856
438,14,165.6245,-2.948893,1.478782,-0.1365759,77.30561
438,14,165.8467,-2.951167,1.478406,-0.1403535,77.56198
438,14,166.0689,-2.9541,1.478446,-0.1422753,78.48076
438,14,166.2911,-2.954592,1.478163,-0.1426458,79.56386
438,14,166.5133,-2.94952,1.476105,-0.15224,87.49271
438,14,166.7356,-2.946318,1.454212,-0.201747,128.3609
438,14,166.9578,-2.946125,1.438849,-0.220107,153.0506
438,14,167.18,-2.947964,1.437105,-0.2357876,169.6236
438,14,167.4022,-2.973987,1.438384,-0.2681639,174.4114
438,14,167.6245,-3.012649,1.440885,-0.3302996,178.7862
438,14,167.8467,-3.023734,1.44157,-0.3965082,177.5588
438,14,168.0689,-2.978364,1.443583,-0.4059341,134.9426
438,14,168.2911,-2.973145,1.446424,-0.311298,57.29846
438,14,168.5133,-2.999928,1.443577,-0.2781472,25.23503
438,14,168.7356,-2.992625,1.440597,-0.2306546,18.10535
438,14,168.9578,-2.973819,1.438792,-0.1603701,25.64971
438,14,169.18,-2.930354,1.436261,-0.08649521,40.43829
438,14,169.4022,-2.875567,1.440799,-0.0231868,47.22567
438,14,169.6245,-2.800367,1.434551,0.03641973,47.39931
438,14,169.8467,-2.730076,1.442737,0.1105092,40.90707
438,14,170.0689,-2.671072,1.439111,0.1898822,37.50831
438,14,170.2911,-2.623131,1.428483,0.29961,35.79435
438,14,170.5133,-2.562894,1.446502,0.4058849,44.92418
438,14,170.7356,-2.483102,1.446019,0.476608,67.05623
438,14,170.9578,-2.396756,1.429038,0.5519814,73.44595
438,14,171.18,-2.295439,1.439971,0.6084436,82.10944
438,14,171.4022,-2.195747,1.444154,0.6685734,86.75699
438,14,171.6245,-2.09452,1.429829,0.7453943,86.60754
438,14,171.8467,-2.008393,1.441821,0.8080796,80.63245
438,14,172.0689,-1.933828,1.445564,0.8285461,80.33921
438,14,172.2911,-1.856379,1.438712,0.8154572,82.49503
438,14,172.5133,-1.769762,1.440235,0.7788199,83.48473
438,14,172.7356,-1.683018,1.444771,0.7554584,77.08849
438,14,172.9578,-1.576744,1.437431,0.7461224,72.77443
438,14,173.18,-1.436647,1.42345,0.7505549,70.7047
438,14,173.4022,-1.291522,1.447253,0.7594872,69.08797
438,14,173.6245,-1.156055,1.438869,0.7542132,61.2437
438,14,173.8467,-1.016896,1.434587,0.7316535,49.39775
438,14,174.0689,-0.8934425,1.450964,0.7217469,39.25458
438,14,174.2911,-0.7722791,1.436882,0.7336336,34.12932
438,14,174.5133,-0.6444747,1.434111,0.7706161,32.04255
