Participant ID,Level,Time,PosX,PosY,PosZ,Facing Angle
409,9,140.7133,1.663029,1.573812,0.8098487,166.6762
409,9,140.9356,1.669227,1.573833,0.8136171,160.2658
409,9,141.1578,1.677612,1.606661,0.8251925,155.4557
409,9,141.38,1.677612,1.606661,0.8251925,155.4557
409,9,141.6022,1.677612,1.606661,0.8251925,155.4557
409,9,141.8244,1.677612,1.606661,0.8251925,155.4557
409,9,142.0467,1.677612,1.606661,0.8251925,155.4557
409,9,142.2689,1.677612,1.606661,0.8251925,155.4557
409,9,142.4911,1.677612,1.606661,0.8251925,155.4557
409,9,142.7133,1.677612,1.606661,0.8251925,155.4557
409,9,142.9356,1.677612,1.606661,0.8251925,155.4557
409,9,143.1578,1.677612,1.606661,0.8251925,155.4557
409,9,143.38,1.677612,1.606661,0.8251925,155.4557
409,9,143.6022,1.677612,1.606661,0.8251925,155.4557
409,9,143.8244,1.677612,1.606661,0.8251925,155.4557
409,9,144.0467,1.677612,1.606661,0.8251925,155.4557
409,9,144.2689,1.677612,1.606661,0.8251925,155.4557
409,9,144.4911,0,0,0,0
409,9,144.7133,0,0,0,0
409,9,144.9356,0,0,0,0
409,9,145.1578,0,0,0,0
409,9,145.38,0,0,0,0
409,9,145.6022,0,0,0,0
409,9,145.8244,0,0,0,0
409,9,146.0467,0,0,0,0
409,9,146.2689,0,0,0,0
409,9,146.4911,0,0,0,0
409,9,146.7133,1.677612,1.606661,0.8251925,155.4557
409,9,146.9356,1.677612,1.606661,0.8251925,155.4557
409,9,147.1578,1.677612,1.606661,0.8251925,155.4557
409,9,147.38,1.677612,1.606661,0.8251925,155.4557
409,9,147.6022,1.677612,1.606661,0.8251925,155.4557
409,9,147.8244,1.677612,1.606661,0.8251925,155.4557
409,9,148.0467,1.677612,1.606661,0.8251925,155.4557
409,9,148.2689,1.677612,1.606661,0.8251925,155.4557
409,9,148.4911,1.677612,1.606661,0.8251925,155.4557
409,9,148.7133,1.677612,1.606661,0.8251925,155.4557
409,9,148.9356,1.677612,1.606661,0.8251925,155.4557
409,9,149.1578,1.677612,1.606661,0.8251925,155.4557
409,9,149.38,1.677612,1.606661,0.8251925,155.4557
409,9,149.6022,1.677612,1.606661,0.8251925,155.4557
409,9,149.8244,1.677612,1.606661,0.8251925,155.4557
409,9,150.0467,1.677612,1.606661,0.8251925,155.4557
409,9,150.2689,1.677612,1.606661,0.8251925,155.4557
409,9,150.4911,1.677612,1.606661,0.8251925,155.4557
409,9,150.7133,1.635814,1.59047,0.862701,163.3876
409,9,150.9356,1.638275,1.592856,0.8673931,163.5045
409,9,151.1578,1.634862,1.590255,0.8645248,163.5463
409,9,151.38,1.620687,1.609137,0.8783625,171.0587
409,9,151.6022,1.617152,1.623049,0.9125782,175.2401
409,9,151.8244,1.61749,1.623693,0.9286321,176.3259
409,9,152.0467,1.614288,1.61845,0.9244965,177.4421
409,9,152.2689,1.619155,1.59964,0.9129748,178.527
409,9,152.4911,1.626382,1.576931,0.9030424,178.6368
409,9,152.7133,1.637392,1.563627,0.9001468,175.9892
409,9,152.9356,1.656691,1.555914,0.8949025,174.1893
409,9,153.1578,1.672251,1.547019,0.8855339,181.2202
409,9,153.38,1.668514,1.531746,0.9196243,184.8448
409,9,153.6022,1.632541,1.534032,0.9876131,181.3576
409,9,153.8244,1.587285,1.546572,1.043622,175.8069
409,9,154.0467,1.554119,1.605234,1.1138,167.6843
409,9,154.2689,1.539858,1.613196,1.167293,172.496
409,9,154.4911,1.558961,1.606419,1.201508,181.7109
409,9,154.7133,1.583314,1.598101,1.216987,198.6837
409,9,154.9356,1.591872,1.589056,1.227539,222.051
409,9,155.1578,1.607621,1.58531,1.215434,224.7827
409,9,155.38,1.612924,1.579006,1.201012,224.9505
409,9,155.6022,1.596151,1.576399,1.223745,242.9938
409,9,155.8244,1.605193,1.579193,1.20923,233.4099
